skip_config,accuracy_mean,accuracy_std,order
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8637333333333334,0.002514623895005656,0
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(0, 1)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7745000000000001,0.0036097091295560413,3
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(1, 2)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7910333333333334,0.0011590225767142566,6
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(2, 3)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8267333333333333,0.0025166114784236004,9
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(3, 4)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8446666666666666,0.0012503332889007104,12
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(4, 5)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8368666666666668,0.002193931022920514,15
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(5, 6)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8375333333333334,0.0027153882472555355,18
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(6, 7)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8392666666666666,0.000723417813807004,21
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(7, 8)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8494666666666667,0.0014977761292440878,24
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(8, 9)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.848,0.003351119216023173,27
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(9, 10)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8448666666666668,0.0010969655114602432,30
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(10, 11)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8516666666666666,0.001404753833713753,33
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(11, 12)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8546,0.002893095228297919,36
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(12, 13)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8513999999999999,0.0024062418831031773,39
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(13, 14)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8576666666666667,0.0030138568866708505,42
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(14, 15)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8544333333333333,0.002437895267096877,45
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(15, 16)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8578666666666667,0.0021501937897159956,48
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(16, 17)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8616333333333334,0.0008504900548115555,51
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(17, 18)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8604333333333333,0.0028867513459481233,54
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(18, 19)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8586333333333332,0.0008962886439832314,57
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(19, 20)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8574666666666667,0.0037541088600803432,60
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(20, 21)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8647333333333332,0.0013576941236278135,63
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(21, 22)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8655333333333334,0.0008504900548115811,66
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(22, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8678666666666667,0.0017039170558842622,69
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(0, 2)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.4737,0.00492747399790194,72
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(1, 3)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6260666666666667,0.0018339392937971846,75
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(2, 4)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7398333333333333,0.0026764404221527997,78
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(3, 5)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7771666666666667,0.0035104605585782197,81
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(4, 6)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7785666666666667,0.002668957349478172,84
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(5, 7)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7975,0.003477067730142742,87
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(6, 8)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8190333333333334,0.0013203534880225625,90
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(7, 9)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8253666666666666,0.002294195574342656,93
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(8, 10)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8231999999999999,0.0032186953878862146,96
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(9, 11)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8245,0.004821825380496418,99
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(10, 12)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8337,0.0021656407827707535,102
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(11, 13)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8342666666666667,0.0027024680078279136,105
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(12, 14)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8419666666666666,0.0021548395145192007,108
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(13, 15)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8445999999999999,0.004194043395102143,111
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(14, 16)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8481666666666667,0.004874764951598499,114
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(15, 17)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8527666666666667,0.001662327685305531,117
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(16, 18)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8590666666666666,0.0014468356276140244,120
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(17, 19)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8555333333333334,0.0022898325994127294,123
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(18, 20)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8512,0.0023579652245103444,126
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(19, 21)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8606666666666666,0.002853652630109922,129
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(20, 22)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8645999999999999,0.0010816653826392316,132
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(21, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8677999999999999,0.0006557438524302083,135
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8637333333333334,0.002514623895005656,138
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(0, 1)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8399333333333333,0.001266227994214836,141
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(1, 2)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8535,0.0014730919862656214,144
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(2, 3)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8581666666666666,0.0009865765724632206,147
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(3, 4)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8604666666666666,0.002386070689089789,150
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(4, 5)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5249666666666667,0.0025579940057266215,153
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(5, 6)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5248666666666667,0.009421429473988142,156
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(6, 7)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8567,0.001743559577416281,159
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(7, 8)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8613666666666667,0.0013503086067019445,162
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(8, 9)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8638666666666666,0.0011718930554164445,165
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(9, 10)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8592,0.0025514701644346275,168
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(10, 11)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8627666666666668,0.0003055050463303557,171
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(11, 12)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8603333333333333,0.0019347695814575622,174
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(12, 13)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.856,0.0028827070610798916,177
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(13, 14)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8605333333333333,0.004091861841916654,180
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(14, 15)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8563999999999999,0.002325940669922647,183
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(15, 16)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8589666666666668,0.0033545988334424477,186
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(16, 17)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8623333333333334,0.0017214335111566806,189
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(17, 18)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8607333333333335,0.004373023362998802,192
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(18, 19)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8606333333333334,0.0009073771725877008,195
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(19, 20)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8609666666666667,0.00179536440126599,198
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(20, 21)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8643333333333333,0.0035444792753425783,201
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(21, 22)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8655333333333334,0.0018610033136277795,204
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(22, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8651666666666666,0.0017039170558842637,207
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(0, 2)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7844000000000001,0.0023643180835074113,210
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(1, 3)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8208000000000001,0.004687216658103174,213
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(2, 4)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8453666666666667,0.0020108041509141533,216
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(3, 5)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.4769333333333334,0.013451517882132604,219
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(4, 6)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5718,0.011505216208311778,222
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(5, 7)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.42596666666666666,0.001422439219556781,225
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(6, 8)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8527333333333335,0.002571640202931485,228
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(7, 9)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8577,0.0007000000000000378,231
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(8, 10)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8574333333333334,0.0015044378795195958,234
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(9, 11)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8516666666666667,0.0003055050463303557,237
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(10, 12)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8505333333333334,0.0022007574453658547,240
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(11, 13)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8455666666666666,0.0020108041509141416,243
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(12, 14)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8517666666666667,0.0015821925715074259,246
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(13, 15)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8492999999999999,0.001682260384126019,249
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(14, 16)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8523666666666667,0.004289910643980029,252
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(15, 17)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8542333333333333,0.001501110699893039,255
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(16, 18)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8591666666666667,0.002742869543622772,258
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(17, 19)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8533,0.0009165151389910943,261
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(18, 20)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8488333333333333,0.0029838453936712325,264
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(19, 21)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8614666666666667,0.0036473734842121038,267
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(20, 22)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8612666666666667,0.0026312227829154086,270
"Encoder: google/vit-large-patch16-224, Dataset: cifar100, Block: [(21, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8659666666666667,0.0016563010998406848,273
"Encoder: google/vit-base-patch16-224, Dataset: pneumoniamnist, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8263888888888888,0.012853856213158108,276
"Encoder: google/vit-base-patch16-224, Dataset: pneumoniamnist, Block: [(0, 1)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8456196581196581,0.016369181032098907,279
"Encoder: google/vit-base-patch16-224, Dataset: pneumoniamnist, Block: [(1, 2)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8386752136752137,0.00806606243084479,282
"Encoder: google/vit-base-patch16-224, Dataset: pneumoniamnist, Block: [(2, 3)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8322649572649573,0.01668001602136326,285
"Encoder: google/vit-base-patch16-224, Dataset: pneumoniamnist, Block: [(3, 4)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.8349358974358975,0.00974801687547795,288
