model,dataset,approx_layer_str,translator_linear,accuracy_mean_linear,accuracy_std_linear,skip_distance,skip_count,first_skip,translator_identity,accuracy_mean_identity,accuracy_std_identity
facebook/deit-base-patch16-224,pneumoniamnist,"[(0, 2)]",linear,0.826923076923077,0.0125164257626709,1,2,0,identity,0.8360042735042735,0.0222250470755499
facebook/deit-base-patch16-224,dermamnist,"[(0, 2)]",linear,0.7421446384039899,0.0008638657394358,1,2,0,identity,0.7443059019118868,0.0035384533090262
facebook/deit-base-patch16-224,imagenet-1k,"[(0, 2)]",linear,0.7223333333333333,0.0024214320831552,1,2,0,identity,0.7305666666666667,0.0010692676621563
facebook/deit-base-patch16-224,cifar100,"[(0, 2)]",linear,0.7204666666666667,0.0048809152147249,1,2,0,identity,0.7061333333333334,0.001955334583475
facebook/deit-small-patch16-224,pneumoniamnist,"[(0, 2)]",linear,0.8189102564102564,0.0069854149736228,1,2,0,identity,0.8231837606837606,0.000925240816009
facebook/deit-small-patch16-224,dermamnist,"[(0, 2)]",linear,0.7379883624272652,0.0035384533090262,1,2,0,identity,0.7389858686616791,0.00415294962487
facebook/deit-small-patch16-224,cifar100,"[(0, 2)]",linear,0.4878666666666666,0.0006027713773341,1,2,0,identity,0.4312333333333333,0.0008621678104251
facebook/deit-small-patch16-224,imagenet-1k,"[(0, 2)]",linear,0.4119333333333333,0.0016041612554021,1,2,0,identity,0.3822,0.0031432467291003
facebook/dinov2-base,pneumoniamnist,"[(0, 2)]",linear,0.87767094017094,0.0106703976257682,1,2,0,identity,0.8221153846153846,0.0369633416495858
facebook/dinov2-base,cifar100,"[(0, 2)]",linear,0.8261333333333334,0.0021733231083604,1,2,0,identity,0.4212,0.0165683433088525
facebook/dinov2-base,dermamnist,"[(0, 2)]",linear,0.7188694929343308,0.0251083105142218,1,2,0,identity,0.7223607647547797,0.0108853177289248
facebook/dinov2-base,imagenet-1k,"[(0, 2)]",linear,0.6914,0.0028044607324759,1,2,0,identity,0.12922,0.0029346209295239
google/vit-base-patch16-224,pneumoniamnist,"[(0, 2)]",linear,0.8135683760683761,0.0155649597054844,1,2,0,identity,0.8173076923076922,0.001602564102564
google/vit-base-patch16-224,dermamnist,"[(0, 2)]",linear,0.7546134663341646,0.0052783068549917,1,2,0,identity,0.7293433083956775,0.0082306858151199
google/vit-base-patch16-224,cifar100,"[(0, 2)]",linear,0.5905,0.0004999999999999,1,2,0,identity,0.3015,0.0062960304954788
google/vit-base-patch16-224,imagenet-1k,"[(0, 2)]",linear,0.4461,0.0028792360097776,1,2,0,identity,0.1574,0.0013856406460551
google/vit-large-patch16-224,pneumoniamnist,"[(0, 2)]",linear,0.8205128205128206,0.0184816708247929,1,2,0,identity,0.8194444444444445,0.0118126839676795
google/vit-large-patch16-224,cifar100,"[(0, 2)]",linear,0.7844000000000001,0.0023643180835074,1,2,0,identity,0.4737,0.0049274739979019
google/vit-large-patch16-224,dermamnist,"[(0, 2)]",linear,0.7546134663341646,0.0050617913042853,1,2,0,identity,0.7270157938487115,0.0077320139346523
google/vit-large-patch16-224,imagenet-1k,"[(0, 2)]",linear,0.7165333333333334,0.0044613152021946,1,2,0,identity,0.6351,0.0048538644398046
microsoft/rad-dino,pneumoniamnist,"[(0, 2)]",linear,0.8846153846153846,0.0154545685272322,1,2,0,identity,0.8995726495726496,0.0082237202555238
microsoft/rad-dino,dermamnist,"[(0, 2)]",linear,0.7097256857855362,0.0073808721131913,1,2,0,identity,0.7102244389027431,0.0054862842892767
microsoft/rad-dino,cifar100,"[(0, 2)]",linear,0.3056,0.0019078784028338,1,2,0,identity,0.3116333333333334,0.0074056284900967
microsoft/rad-dino,imagenet-1k,"[(0, 2)]",linear,0.0779333333333333,0.0013503086067019,1,2,0,identity,0.079,0.0025238858928248
facebook/deit-base-patch16-224,pneumoniamnist,"[(1, 3)]",linear,0.8354700854700855,0.0075734224779689,1,2,1,identity,0.8370726495726496,0.0120281306081172
facebook/deit-base-patch16-224,dermamnist,"[(1, 3)]",linear,0.7484621778886118,0.0053330057962911,1,2,1,identity,0.7461346633416458,0.0067100369312088
facebook/deit-base-patch16-224,imagenet-1k,"[(1, 3)]",linear,0.7301333333333333,0.0013650396819629,1,2,1,identity,0.7265666666666667,0.0014224392195567
facebook/deit-base-patch16-224,cifar100,"[(1, 3)]",linear,0.6862666666666667,0.0017925772879664,1,2,1,identity,0.6551,0.0034510867853474
facebook/deit-small-patch16-224,pneumoniamnist,"[(1, 3)]",linear,0.8007478632478633,0.003700963264036,1,2,1,identity,0.8365384615384616,0.0188939521194737
facebook/deit-small-patch16-224,dermamnist,"[(1, 3)]",linear,0.7283458021612635,0.0029224265721108,1,2,1,identity,0.7108894430590191,0.003743418204222
facebook/deit-small-patch16-224,imagenet-1k,"[(1, 3)]",linear,0.6576666666666667,0.0040426888741694,1,2,1,identity,0.5545333333333333,0.0007371114795832
facebook/deit-small-patch16-224,cifar100,"[(1, 3)]",linear,0.6196333333333334,0.0020502032419575,1,2,1,identity,0.5017666666666667,0.0023713568549109
facebook/dinov2-base,pneumoniamnist,"[(1, 3)]",linear,0.8733974358974358,0.0064102564102563,1,2,1,identity,0.826388888888889,0.0233520224299085
facebook/dinov2-base,cifar100,"[(1, 3)]",linear,0.8353999999999999,0.0030347981810987,1,2,1,identity,0.3945,0.0018027756377319
facebook/dinov2-base,dermamnist,"[(1, 3)]",linear,0.7253532834580216,0.0253596874023851,1,2,1,identity,0.7142144638403991,0.0347412962938014
facebook/dinov2-base,imagenet-1k,"[(1, 3)]",linear,0.70004,0.0035774292445833,1,2,1,identity,0.29174,0.0026463181970428
google/vit-base-patch16-224,pneumoniamnist,"[(1, 3)]",linear,0.8466880341880342,0.0187803374265459,1,2,1,identity,0.8552350427350427,0.00882623485142
google/vit-base-patch16-224,dermamnist,"[(1, 3)]",linear,0.7617622610141312,0.0074868364084441,1,2,1,identity,0.744970906068163,0.0032065339188671
google/vit-base-patch16-224,cifar100,"[(1, 3)]",linear,0.7367,0.0054442630355264,1,2,1,identity,0.5366333333333334,0.0016041612554021
google/vit-base-patch16-224,imagenet-1k,"[(1, 3)]",linear,0.6801333333333334,0.0041621308645132,1,2,1,identity,0.4680666666666666,0.0045621632295801
google/vit-large-patch16-224,pneumoniamnist,"[(1, 3)]",linear,0.8258547008547009,0.0122397855100316,1,2,1,identity,0.8167735042735043,0.0364150148870817
google/vit-large-patch16-224,cifar100,"[(1, 3)]",linear,0.8208000000000001,0.0046872166581031,1,2,1,identity,0.6260666666666667,0.0018339392937971
google/vit-large-patch16-224,dermamnist,"[(1, 3)]",linear,0.7594347464671655,0.006236076253869,1,2,1,identity,0.7321695760598503,0.0052071354159154
google/vit-large-patch16-224,imagenet-1k,"[(1, 3)]",linear,0.7539000000000001,0.0019974984355437,1,2,1,identity,0.7079,0.0010816653826391
