model,dataset_a,dataset_b,spearman_r,n_blocks,perm_p,significant
facebook/deit-base-patch16-224,cifar100,dermamnist,-0.5558100980454104,11,0.0794,False
facebook/deit-base-patch16-224,cifar100,imagenet-1k,-0.690909090909091,11,0.02385,True
facebook/deit-base-patch16-224,cifar100,pneumoniamnist,-0.692484712318872,11,0.021,True
facebook/deit-base-patch16-224,dermamnist,imagenet-1k,0.601368302803231,11,0.0559,False
facebook/deit-base-patch16-224,dermamnist,pneumoniamnist,0.21461187214611874,11,0.5172,False
facebook/deit-base-patch16-224,imagenet-1k,pneumoniamnist,0.5011402523360257,11,0.1189,False
facebook/deit-small-patch16-224,cifar100,dermamnist,-0.790909090909091,11,0.0054,True
facebook/deit-small-patch16-224,cifar100,imagenet-1k,0.28181818181818186,11,0.40375,False
facebook/deit-small-patch16-224,cifar100,pneumoniamnist,-0.6636363636363638,11,0.03065,True
facebook/deit-small-patch16-224,dermamnist,imagenet-1k,0.018181818181818184,11,0.9677,False
facebook/deit-small-patch16-224,dermamnist,pneumoniamnist,0.6181818181818182,11,0.045,True
facebook/deit-small-patch16-224,imagenet-1k,pneumoniamnist,-0.36363636363636365,11,0.2723,False
facebook/dinov2-base,cifar100,dermamnist,-0.29090909090909095,11,0.3888,False
facebook/dinov2-base,cifar100,imagenet-1k,0.9090909090909091,11,0.0002,True
facebook/dinov2-base,cifar100,pneumoniamnist,0.19090909090909092,11,0.5813,False
facebook/dinov2-base,dermamnist,imagenet-1k,-0.4090909090909091,11,0.21185,False
facebook/dinov2-base,dermamnist,pneumoniamnist,-0.03636363636363637,11,0.92595,False
facebook/dinov2-base,imagenet-1k,pneumoniamnist,0.19090909090909092,11,0.57405,False
google/vit-base-patch16-224,cifar100,dermamnist,0.2779050490227052,11,0.4051,False
google/vit-base-patch16-224,cifar100,imagenet-1k,0.08200476856407693,11,0.8098,False
google/vit-base-patch16-224,cifar100,pneumoniamnist,0.153318479226157,11,0.6481,False
google/vit-base-patch16-224,dermamnist,imagenet-1k,0.24545454545454545,11,0.4676,False
google/vit-base-patch16-224,dermamnist,pneumoniamnist,0.7214687086640126,11,0.01345,True
google/vit-base-patch16-224,imagenet-1k,pneumoniamnist,0.671239874516518,11,0.02925,True
google/vit-large-patch16-224,cifar100,dermamnist,0.23485791378883467,23,0.2842,False
google/vit-large-patch16-224,cifar100,imagenet-1k,0.23023715415019763,23,0.2917,False
google/vit-large-patch16-224,cifar100,pneumoniamnist,0.10531523292004585,23,0.6327,False
google/vit-large-patch16-224,dermamnist,imagenet-1k,0.3203956381792945,23,0.14,False
google/vit-large-patch16-224,dermamnist,pneumoniamnist,0.03809995051954478,23,0.86345,False
google/vit-large-patch16-224,imagenet-1k,pneumoniamnist,0.009394316551553388,23,0.96595,False
microsoft/rad-dino,cifar100,dermamnist,0.356987817206484,11,0.27895,False
microsoft/rad-dino,cifar100,imagenet-1k,0.2687934080711411,11,0.4207,False
microsoft/rad-dino,cifar100,pneumoniamnist,0.7363636363636363,11,0.01265,True
microsoft/rad-dino,dermamnist,imagenet-1k,0.1146801056382977,11,0.7352,False
microsoft/rad-dino,dermamnist,pneumoniamnist,0.24714541191218123,11,0.46395,False
microsoft/rad-dino,imagenet-1k,pneumoniamnist,0.4009122018688206,11,0.2183,False
