model,dataset_a,dataset_b,full_matrix_pearson_r,distance1_diag_spearman_r
facebook/deit-base-patch16-224,cifar100,dermamnist,0.9934684781441043,0.7832167832167832
facebook/deit-base-patch16-224,cifar100,imagenet-1k,0.9839617381520918,0.8391608391608393
facebook/deit-base-patch16-224,cifar100,pneumoniamnist,0.9948111336563293,0.7692307692307694
facebook/deit-base-patch16-224,dermamnist,imagenet-1k,0.9640249341697282,0.5034965034965035
facebook/deit-base-patch16-224,dermamnist,pneumoniamnist,0.9963833655987587,0.9300699300699302
facebook/deit-base-patch16-224,imagenet-1k,pneumoniamnist,0.9729187333837125,0.5034965034965035
facebook/deit-small-patch16-224,cifar100,dermamnist,0.9850824676764999,0.9230769230769231
facebook/deit-small-patch16-224,cifar100,imagenet-1k,0.9895470988162686,0.965034965034965
facebook/deit-small-patch16-224,cifar100,pneumoniamnist,0.9928776982579022,0.9720279720279721
facebook/deit-small-patch16-224,dermamnist,imagenet-1k,0.9540451676275078,0.9230769230769231
facebook/deit-small-patch16-224,dermamnist,pneumoniamnist,0.9961867335033213,0.9510489510489512
facebook/deit-small-patch16-224,imagenet-1k,pneumoniamnist,0.9695570571760586,0.9510489510489512
facebook/dinov2-base,cifar100,dermamnist,0.9869979896811352,0.8461538461538463
facebook/dinov2-base,cifar100,imagenet-1k,0.96727632891808,0.7622377622377624
facebook/dinov2-base,cifar100,pneumoniamnist,0.9895071338328368,0.9440559440559443
facebook/dinov2-base,dermamnist,imagenet-1k,0.9702912240828051,0.9230769230769231
facebook/dinov2-base,dermamnist,pneumoniamnist,0.9861720539562386,0.8741258741258742
facebook/dinov2-base,imagenet-1k,pneumoniamnist,0.9455016265960173,0.8391608391608393
google/vit-base-patch16-224,cifar100,dermamnist,0.9872618712983707,0.9580419580419581
google/vit-base-patch16-224,cifar100,imagenet-1k,0.9936995932917927,0.965034965034965
google/vit-base-patch16-224,cifar100,pneumoniamnist,0.9950630721438602,0.9790209790209792
google/vit-base-patch16-224,dermamnist,imagenet-1k,0.9764971477188249,0.9230769230769231
google/vit-base-patch16-224,dermamnist,pneumoniamnist,0.9759756629381724,0.9510489510489512
google/vit-base-patch16-224,imagenet-1k,pneumoniamnist,0.9879124566532872,0.9580419580419581
google/vit-large-patch16-224,cifar100,dermamnist,0.9990196794088102,0.9697760611944689
google/vit-large-patch16-224,cifar100,imagenet-1k,0.9986668325430312,0.9823874987615719
google/vit-large-patch16-224,cifar100,pneumoniamnist,0.9995226932491584,0.9658621667770921
google/vit-large-patch16-224,dermamnist,imagenet-1k,0.9989093245604453,0.9693344932579381
google/vit-large-patch16-224,dermamnist,pneumoniamnist,0.9980470057843556,0.9815137016093952
google/vit-large-patch16-224,imagenet-1k,pneumoniamnist,0.9981335820997941,0.953675511091779
microsoft/rad-dino,cifar100,dermamnist,0.9893725328513528,0.9860139860139862
microsoft/rad-dino,cifar100,imagenet-1k,0.9658961097767459,0.6433566433566434
microsoft/rad-dino,cifar100,pneumoniamnist,0.9909465785371278,0.9370629370629372
microsoft/rad-dino,dermamnist,imagenet-1k,0.9507992710978429,0.6153846153846154
microsoft/rad-dino,dermamnist,pneumoniamnist,0.9878767067156909,0.965034965034965
microsoft/rad-dino,imagenet-1k,pneumoniamnist,0.9574246910982782,0.6153846153846154
