seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7389,0.7389,0.0,250,0.0019,0,0.0
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7362,0.7362,0.0,250,0.0019,0,0.0
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7372,0.7372,0.0,250,0.0019,0,0.0
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7389,0.6421,0.0968,250,0.0019,1774464,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7362,0.6383,0.0978999999999999,250,0.0019,1774464,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7372,0.6401,0.0970999999999999,250,0.0019,1774464,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 2)]",[],[],{},identity,identity,1,0.7389,0.6909,0.048,250,0.0019,1774464,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 2)]",[],[],{},identity,identity,1,0.7362,0.6872,0.0489999999999999,250,0.0019,1774464,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 2)]",[],[],{},identity,identity,1,0.7372,0.6858,0.0514,250,0.0019,1774464,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 3)]",[],[],{},identity,identity,1,0.7389,0.7055,0.0333999999999999,250,0.0019,1774464,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 3)]",[],[],{},identity,identity,1,0.7362,0.7048,0.0313999999999999,250,0.0019,1774464,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 3)]",[],[],{},identity,identity,1,0.7372,0.705,0.0322,250,0.0019,1774464,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(3, 4)]",[],[],{},identity,identity,1,0.7389,0.7073,0.0315999999999999,250,0.0019,1774464,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(3, 4)]",[],[],{},identity,identity,1,0.7362,0.7078,0.0283999999999999,250,0.0019,1774464,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(3, 4)]",[],[],{},identity,identity,1,0.7372,0.7073,0.0298999999999999,250,0.0019,1774464,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(4, 5)]",[],[],{},identity,identity,1,0.7389,0.7099,0.029,250,0.0019,1774464,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(4, 5)]",[],[],{},identity,identity,1,0.7362,0.7082,0.0279999999999999,250,0.0019,1774464,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(4, 5)]",[],[],{},identity,identity,1,0.7372,0.7104,0.0267999999999999,250,0.0019,1774464,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(5, 6)]",[],[],{},identity,identity,1,0.7389,0.7083,0.0305999999999999,250,0.0019,1774464,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(5, 6)]",[],[],{},identity,identity,1,0.7362,0.7025,0.0336999999999999,250,0.0019,1774464,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(5, 6)]",[],[],{},identity,identity,1,0.7372,0.707,0.0302,250,0.0019,1774464,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(6, 7)]",[],[],{},identity,identity,1,0.7389,0.7029,0.036,250,0.0019,1774464,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(6, 7)]",[],[],{},identity,identity,1,0.7362,0.7027,0.0334999999999999,250,0.0019,1774464,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(6, 7)]",[],[],{},identity,identity,1,0.7372,0.7021,0.0351,250,0.0019,1774464,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(7, 8)]",[],[],{},identity,identity,1,0.7389,0.6988,0.0401,250,0.0019,1774464,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(7, 8)]",[],[],{},identity,identity,1,0.7362,0.6996,0.0365999999999999,250,0.0019,1774464,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(7, 8)]",[],[],{},identity,identity,1,0.7372,0.6996,0.0375999999999999,250,0.0019,1774464,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(8, 9)]",[],[],{},identity,identity,1,0.7389,0.7125,0.0263999999999999,250,0.0019,1774464,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(8, 9)]",[],[],{},identity,identity,1,0.7362,0.7118,0.0243999999999999,250,0.0019,1774464,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(8, 9)]",[],[],{},identity,identity,1,0.7372,0.7116,0.0255999999999999,250,0.0019,1774464,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(9, 10)]",[],[],{},identity,identity,1,0.7389,0.7165,0.0223999999999999,250,0.0019,1774464,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(9, 10)]",[],[],{},identity,identity,1,0.7362,0.7156,0.0205999999999999,250,0.0019,1774464,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(9, 10)]",[],[],{},identity,identity,1,0.7372,0.7206,0.0165999999999999,250,0.0019,1774464,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7389,0.7366,0.0022999999999999,250,0.0019,1774464,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7362,0.7367,-0.0005,250,0.0019,1774464,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7372,0.7331,0.0040999999999999,250,0.0019,1774464,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 2)]",[],[],{},identity,identity,2,0.7389,0.3786,0.3603,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 2)]",[],[],{},identity,identity,2,0.7362,0.3844,0.3517999999999999,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 2)]",[],[],{},identity,identity,2,0.7372,0.3836,0.3535999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 3)]",[],[],{},identity,identity,2,0.7389,0.5551,0.1837999999999999,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 3)]",[],[],{},identity,identity,2,0.7362,0.5548,0.1814,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 3)]",[],[],{},identity,identity,2,0.7372,0.5537,0.1835,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 4)]",[],[],{},identity,identity,2,0.7389,0.6304,0.1085,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 4)]",[],[],{},identity,identity,2,0.7362,0.6337,0.1024999999999999,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 4)]",[],[],{},identity,identity,2,0.7372,0.6328,0.1043999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(3, 5)]",[],[],{},identity,identity,2,0.7389,0.6395,0.0994,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(3, 5)]",[],[],{},identity,identity,2,0.7362,0.6396,0.0966,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(3, 5)]",[],[],{},identity,identity,2,0.7372,0.6377,0.0994999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(4, 6)]",[],[],{},identity,identity,2,0.7389,0.6235,0.1153999999999999,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(4, 6)]",[],[],{},identity,identity,2,0.7362,0.6222,0.1139999999999999,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(4, 6)]",[],[],{},identity,identity,2,0.7372,0.6239,0.1132999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(5, 7)]",[],[],{},identity,identity,2,0.7389,0.6335,0.1054,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(5, 7)]",[],[],{},identity,identity,2,0.7362,0.6297,0.1064999999999999,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(5, 7)]",[],[],{},identity,identity,2,0.7372,0.6311,0.1060999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(6, 8)]",[],[],{},identity,identity,2,0.7389,0.622,0.1169,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(6, 8)]",[],[],{},identity,identity,2,0.7362,0.6195,0.1166999999999999,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(6, 8)]",[],[],{},identity,identity,2,0.7372,0.6188,0.1183999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(7, 9)]",[],[],{},identity,identity,2,0.7389,0.6487,0.0901999999999999,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(7, 9)]",[],[],{},identity,identity,2,0.7362,0.6476,0.0886,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(7, 9)]",[],[],{},identity,identity,2,0.7372,0.6482,0.0889999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(8, 10)]",[],[],{},identity,identity,2,0.7389,0.6759,0.063,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(8, 10)]",[],[],{},identity,identity,2,0.7362,0.6727,0.0635,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(8, 10)]",[],[],{},identity,identity,2,0.7372,0.6751,0.0620999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(9, 11)]",[],[],{},identity,identity,2,0.7389,0.6967,0.0422,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(9, 11)]",[],[],{},identity,identity,2,0.7362,0.6963,0.0398999999999999,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(9, 11)]",[],[],{},identity,identity,2,0.7372,0.6985,0.0386999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 1), (2, 3)]",[],[],{},identity,identity,2,0.7389,0.5472,0.1916999999999999,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 1), (2, 3)]",[],[],{},identity,identity,2,0.7362,0.5446,0.1916,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 1), (2, 3)]",[],[],{},identity,identity,2,0.7372,0.5451,0.1920999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 2), (3, 4)]",[],[],{},identity,identity,2,0.7389,0.6183,0.1206,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 2), (3, 4)]",[],[],{},identity,identity,2,0.7362,0.6198,0.1163999999999999,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 2), (3, 4)]",[],[],{},identity,identity,2,0.7372,0.6185,0.1186999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 3), (4, 5)]",[],[],{},identity,identity,2,0.7389,0.6608,0.0780999999999999,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 3), (4, 5)]",[],[],{},identity,identity,2,0.7362,0.662,0.0741999999999999,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 3), (4, 5)]",[],[],{},identity,identity,2,0.7372,0.6626,0.0746,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(3, 4), (5, 6)]",[],[],{},identity,identity,2,0.7389,0.6574,0.0815,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(3, 4), (5, 6)]",[],[],{},identity,identity,2,0.7362,0.6562,0.0799999999999999,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(3, 4), (5, 6)]",[],[],{},identity,identity,2,0.7372,0.6538,0.0833999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(4, 5), (6, 7)]",[],[],{},identity,identity,2,0.7389,0.6606,0.0783,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(4, 5), (6, 7)]",[],[],{},identity,identity,2,0.7362,0.6613,0.0748999999999999,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(4, 5), (6, 7)]",[],[],{},identity,identity,2,0.7372,0.6646,0.0726,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(5, 6), (7, 8)]",[],[],{},identity,identity,2,0.7389,0.6488,0.0900999999999999,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(5, 6), (7, 8)]",[],[],{},identity,identity,2,0.7362,0.6488,0.0873999999999999,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(5, 6), (7, 8)]",[],[],{},identity,identity,2,0.7372,0.6481,0.0890999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(6, 7), (8, 9)]",[],[],{},identity,identity,2,0.7389,0.668,0.0708999999999999,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(6, 7), (8, 9)]",[],[],{},identity,identity,2,0.7362,0.6679,0.0682999999999999,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(6, 7), (8, 9)]",[],[],{},identity,identity,2,0.7372,0.6681,0.0690999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(7, 8), (9, 10)]",[],[],{},identity,identity,2,0.7389,0.6706,0.0683,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(7, 8), (9, 10)]",[],[],{},identity,identity,2,0.7362,0.6709,0.0652999999999999,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(7, 8), (9, 10)]",[],[],{},identity,identity,2,0.7372,0.6689,0.0682999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(8, 9), (10, 11)]",[],[],{},identity,identity,2,0.7389,0.7006,0.0383,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(8, 9), (10, 11)]",[],[],{},identity,identity,2,0.7362,0.705,0.0312,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(8, 9), (10, 11)]",[],[],{},identity,identity,2,0.7372,0.701,0.0362,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 1), (3, 4)]",[],[],{},identity,identity,2,0.7389,0.5903,0.1485999999999999,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 1), (3, 4)]",[],[],{},identity,identity,2,0.7362,0.5902,0.146,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 1), (3, 4)]",[],[],{},identity,identity,2,0.7372,0.5911,0.1461,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 2), (4, 5)]",[],[],{},identity,identity,2,0.7389,0.6322,0.1067,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 2), (4, 5)]",[],[],{},identity,identity,2,0.7362,0.6367,0.0994999999999999,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 2), (4, 5)]",[],[],{},identity,identity,2,0.7372,0.6348,0.1023999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 3), (5, 6)]",[],[],{},identity,identity,2,0.7389,0.6594,0.0795,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 3), (5, 6)]",[],[],{},identity,identity,2,0.7362,0.6609,0.0752999999999999,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 3), (5, 6)]",[],[],{},identity,identity,2,0.7372,0.6592,0.0779999999999999,250,0.0019,3548928,16.666666666666668
1,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(3, 4), (6, 7)]",[],[],{},identity,identity,2,0.7389,0.6686,0.0703,250,0.0019,3548928,16.666666666666668
2,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(3, 4), (6, 7)]",[],[],{},identity,identity,2,0.7362,0.6668,0.0694,250,0.0019,3548928,16.666666666666668
3,imagenet-1k,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(3, 4), (6, 7)]",[],[],{},identity,identity,2,0.7372,0.6708,0.0664,250,0.0019,3548928,16.666666666666668
