seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
1,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7463,0.7463,0.0,250,0.0019,0,0.0
2,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7375,0.7375,0.0,250,0.0019,0,0.0
3,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7445,0.7445,0.0,250,0.0019,0,0.0
4,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7451,0.7451,0.0,250,0.0019,0,0.0
5,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7419,0.7419,0.0,250,0.0019,0,0.0
1,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7463,0.6509,0.0953999999999999,250,0.0019,7089408,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7375,0.6536,0.0839,250,0.0019,7089408,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7445,0.6579,0.0866,250,0.0019,7089408,8.333333333333334
4,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7451,0.6582,0.0868999999999999,250,0.0019,7089408,8.333333333333334
5,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7419,0.6507,0.0912,250,0.0019,7089408,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(1, 2)]",[],[],{},identity,identity,1,0.7463,0.5832,0.1630999999999999,250,0.0019,7089408,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(1, 2)]",[],[],{},identity,identity,1,0.7375,0.5757,0.1618,250,0.0019,7089408,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(1, 2)]",[],[],{},identity,identity,1,0.7445,0.5775,0.167,250,0.0019,7089408,8.333333333333334
4,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(1, 2)]",[],[],{},identity,identity,1,0.7451,0.578,0.1671,250,0.0019,7089408,8.333333333333334
5,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(1, 2)]",[],[],{},identity,identity,1,0.7419,0.575,0.1669,250,0.0019,7089408,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(2, 3)]",[],[],{},identity,identity,1,0.7463,0.4909,0.2553999999999999,250,0.0019,7089408,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(2, 3)]",[],[],{},identity,identity,1,0.7375,0.4886,0.2489,250,0.0019,7089408,8.333333333333334
3,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(2, 3)]",[],[],{},identity,identity,1,0.7445,0.4906,0.2539,250,0.0019,7089408,8.333333333333334
4,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(2, 3)]",[],[],{},identity,identity,1,0.7451,0.4964,0.2486999999999999,250,0.0019,7089408,8.333333333333334
5,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(2, 3)]",[],[],{},identity,identity,1,0.7419,0.4933,0.2486,250,0.0019,7089408,8.333333333333334
1,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(3, 4)]",[],[],{},identity,identity,1,0.7463,0.6287,0.1175999999999999,250,0.0019,7089408,8.333333333333334
2,imagenet-1k,imagenet-1k,facebook/dinov2-base,Adam,0.01,Linear,identity,,,256,5,"[(3, 4)]",[],[],{},identity,identity,1,0.7375,0.6324,0.1051,250,0.0019,7089408,8.333333333333334
