seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8646,0.8646,0.0,250,0.01,0,0.0
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8609,0.8609,0.0,250,0.01,0,0.0
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.8657,0.8657,0.0,250,0.01,0,0.0
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.8646,0.7772,0.0874,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.8609,0.7704,0.0905,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.8657,0.7759,0.0897999999999999,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 2)]",[],[],{},identity,identity,1,0.8646,0.7916,0.073,250,0.01,12596224,4.166666666666667
2,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 2)]",[],[],{},identity,identity,1,0.8609,0.7897,0.0712,250,0.01,12596224,4.166666666666667
3,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 2)]",[],[],{},identity,identity,1,0.8657,0.7918,0.0739,250,0.01,12596224,4.166666666666667
1,cifar100,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 3)]",[],[],{},identity,identity,1,0.8646,0.8264,0.0382,250,0.01,12596224,4.166666666666667
