seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7864,0.7864,0.0,250,0.0019,0,0.0
2,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7835,0.7835,0.0,250,0.0019,0,0.0
3,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,[],[],[],{},identity,identity,0,0.7838,0.7838,0.0,250,0.0019,0,0.0
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7864,0.7584,0.028,250,0.0019,12596224,4.166666666666667
2,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7835,0.7623,0.0211999999999999,250,0.0019,12596224,4.166666666666667
3,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.7838,0.7656,0.0182000000000001,250,0.0019,12596224,4.166666666666667
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 2)]",[],[],{},identity,identity,1,0.7864,0.7699,0.0164999999999999,250,0.0019,12596224,4.166666666666667
2,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 2)]",[],[],{},identity,identity,1,0.7835,0.7664,0.0171,250,0.0019,12596224,4.166666666666667
3,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(1, 2)]",[],[],{},identity,identity,1,0.7838,0.7633,0.0205,250,0.0019,12596224,4.166666666666667
1,imagenet-1k,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,identity,,,256,5,"[(2, 3)]",[],[],{},identity,identity,1,0.7864,0.7713,0.0151,250,0.0019,12596224,4.166666666666667
