model,dataset,shape,cka_screened,n_spans,intercept,r2_in_sample,r2_loo_cv,coef_cka,coef_block_drop_sum,coef_cka_1,coef_cka_2
facebook/deit-base-patch16-224,cifar100,contiguous,False,10,0.01295592618696038,0.9370290268377738,0.896943019327549,0.008278390860727175,1.3170152913384077,,
facebook/deit-base-patch16-224,cifar100,contiguous,True,8,-0.03512927846947266,0.9239644415631257,0.8408979202033801,0.0629111299687444,1.3495551543157989,,
facebook/deit-base-patch16-224,dermamnist,contiguous,False,10,-0.0033385269153677626,0.832805409901643,0.6678798658998882,0.004871612399581329,0.6355622597021793,,
facebook/deit-base-patch16-224,dermamnist,contiguous,True,8,-0.013247878790066588,0.7855090577570583,-0.3488372652666074,0.01564074230076852,0.5637252004269485,,
facebook/deit-base-patch16-224,imagenet-1k,contiguous,False,10,0.024637544902441154,0.9799106384703868,0.9491259204362062,-0.013557695632904874,1.7551551476584712,,
facebook/deit-base-patch16-224,imagenet-1k,contiguous,True,8,0.04284808693200123,0.9757118820319963,0.8889483012847272,-0.033607204552256194,1.7334408178491663,,
facebook/deit-base-patch16-224,pneumoniamnist,contiguous,False,10,0.04884981395320065,0.6601389382453811,0.3190705957565373,-0.05438918906569867,1.2298967703868713,,
facebook/deit-base-patch16-224,pneumoniamnist,contiguous,True,8,0.019265042688283933,0.6946616861399605,0.1999684405670149,-0.021280129551918135,1.2663308377410465,,
facebook/deit-small-patch16-224,cifar100,contiguous,False,10,0.00025906420805224236,0.980406839743158,0.9109303221933862,0.01194087759002574,1.3123064247429739,,
facebook/deit-small-patch16-224,cifar100,contiguous,True,9,-0.058511727102436975,0.9883431756543894,0.9455488917208414,0.07512138888920182,1.4216311372650943,,
facebook/deit-small-patch16-224,dermamnist,contiguous,False,10,-6.96133847566654e-05,0.9474932715859654,0.8505631994407901,-0.0017401327675927146,1.079206623782892,,
facebook/deit-small-patch16-224,dermamnist,contiguous,True,8,0.0027071322679996903,0.9441651168884564,0.8286333027816499,-0.004849961332081045,1.112884986758764,,
facebook/deit-small-patch16-224,imagenet-1k,contiguous,False,10,0.045771196923204374,0.9616997060120012,0.8139514403118128,-0.0811860129524486,2.2152718521561536,,
facebook/deit-small-patch16-224,imagenet-1k,disjoint,False,45,0.10005172984023428,0.9593646876161519,0.9507720366723068,,1.0219425666709427,0.05473069409887009,-0.1459621767063077
facebook/deit-small-patch16-224,pneumoniamnist,contiguous,False,10,0.04889875809787673,0.7982477849668596,0.572708931409603,-0.04022977936762685,1.1142801929635684,,
facebook/deit-small-patch16-224,pneumoniamnist,contiguous,True,6,0.43741922839103875,0.8795186170453089,0.28598968519853574,-0.44195143750470994,1.360501062889941,,
