model_short,dataset,approx_layer,num_approx_layers,accuracy,original_accuracy,accuracy_retention_pct,delta_acc_mean,delta_acc_max,params_saved_pct,mlp_mode,attn_mode
deit-base-patch16-224,cifar100,"[(8, 9), (10, 11)]",2,0.7351000000000001,0.7554666666666666,97.3,0.020366666666666634,0.0231,15.277928269585004,identity,identity
deit-base-patch16-224,cifar100,"[(7, 8), (9, 10)]",2,0.7275333333333333,0.7554666666666666,96.3,0.0279333333333333,0.0313999999999999,15.277928269585004,identity,identity
deit-base-patch16-224,cifar100,"[(6, 7), (8, 9)]",2,0.7160000000000001,0.7554666666666666,94.78,0.03946666666666667,0.0483,15.277928269585004,identity,identity
deit-base-patch16-224,cifar100,"[(0, 1), (2, 3)]",2,0.7097333333333333,0.7554666666666666,93.95,0.0457333333333333,0.0479,15.277928269585004,identity,identity
deit-base-patch16-224,cifar100,"[(1, 2), (3, 4)]",2,0.7016333333333332,0.7554666666666666,92.87,0.05383333333333334,0.0544,15.277928269585004,identity,identity
deit-base-patch16-224,cifar100,"[(6, 7), (8, 9), (10, 11)]",3,0.6989666666666666,0.7554666666666666,92.52,0.05649999999999997,0.06,22.916892404377503,identity,identity
deit-base-patch16-224,imagenet-1k,"[(1, 2), (3, 4)]",2,0.7435,0.7761999999999999,95.79,0.03269999999999993,0.0350999999999999,15.277928269585004,identity,identity
deit-base-patch16-224,imagenet-1k,"[(0, 1), (2, 3)]",2,0.7220666666666666,0.7761999999999999,93.03,0.05413333333333326,0.0574999999999999,15.277928269585004,identity,identity
deit-base-patch16-224,imagenet-1k,"[(6, 7), (8, 9)]",2,0.6447333333333334,0.7761999999999999,83.06,0.13146666666666662,0.1334999999999999,15.277928269585004,identity,identity
deit-base-patch16-224,imagenet-1k,"[(7, 8), (9, 10)]",2,0.6199,0.7761999999999999,79.86,0.15629999999999997,0.1573,15.277928269585004,identity,identity
deit-base-patch16-224,imagenet-1k,"[(8, 9), (10, 11)]",2,0.6128666666666667,0.7761999999999999,78.96,0.1633333333333333,0.1688999999999999,15.277928269585004,identity,identity
