model_short,dataset,approx_layer,num_approx_layers,accuracy,original_accuracy,accuracy_retention_pct,delta_acc_mean,delta_acc_max,params_saved_pct,mlp_mode,attn_mode
deit-base-patch16-224,cifar100,"[(10, 11)]",1,0.7602000000000001,0.7554666666666666,100.63,-0.0047333333333333,0.001,7.638964134792502,identity,identity
deit-base-patch16-224,cifar100,"[(9, 10)]",1,0.7521,0.7554666666666666,99.55,0.0033666666666666,0.0062999999999999,7.638964134792502,identity,identity
deit-base-patch16-224,cifar100,"[(1, 2)]",1,0.7463333333333333,0.7554666666666666,98.79,0.009133333333333235,0.0101999999999999,7.638964134792502,identity,identity
deit-base-patch16-224,cifar100,"[(0, 1)]",1,0.7458666666666667,0.7554666666666666,98.73,0.009599999999999968,0.0108,7.638964134792502,identity,identity
deit-base-patch16-224,cifar100,"[(8, 9)]",1,0.7442333333333333,0.7554666666666666,98.51,0.011233333333333333,0.0161,7.638964134792502,identity,identity
deit-base-patch16-224,cifar100,"[(7, 8)]",1,0.7387333333333332,0.7554666666666666,97.79,0.016733333333333333,0.0201,7.638964134792502,identity,identity
deit-base-patch16-224,cifar100,"[(6, 7)]",1,0.7384333333333334,0.7554666666666666,97.75,0.017033333333333334,0.0218,7.638964134792502,identity,identity
deit-base-patch16-224,cifar100,"[(9, 11)]",1,0.7352666666666666,0.7554666666666666,97.33,0.020199999999999965,0.0233999999999999,15.972297468125836,identity,identity
deit-base-patch16-224,cifar100,"[(2, 3)]",1,0.7335666666666668,0.7554666666666666,97.1,0.021899999999999933,0.0232999999999999,7.638964134792502,identity,identity
deit-base-patch16-224,cifar100,"[(3, 4)]",1,0.7312666666666666,0.7554666666666666,96.8,0.024199999999999968,0.0249,7.638964134792502,identity,identity
deit-base-patch16-224,cifar100,"[(0, 2)]",1,0.7204666666666667,0.7554666666666666,95.37,0.03499999999999997,0.0383999999999999,15.972297468125836,identity,identity
deit-base-patch16-224,cifar100,"[(8, 10)]",1,0.7141333333333333,0.7554666666666666,94.53,0.04133333333333333,0.0451,15.972297468125836,identity,identity
