dataset,model,approx_layer,translator,mlp_linearize,mlp_mode,attn_linearize,head_dict,accuracy_mean,accuracy_std
dermamnist,facebook/deit-small-patch16-224,"[(2, 3)]",linear,[],identity,[],{},0.7286783042394015,0.0034912718204488558
dermamnist,facebook/deit-small-patch16-224,"[(3, 4), (9, 10)]",linear,[],identity,[],{},0.7281795511221945,0.0030337967732160603
dermamnist,facebook/deit-small-patch16-224,[],identity,[],identity,[3],{},0.7280133000831256,0.007301809228926933
dermamnist,facebook/deit-small-patch16-224,[],identity,"[4, 10, 11]",linear,[],{},0.7263507896924356,0.0027469179786962904
dermamnist,facebook/deit-small-patch16-224,[],identity,"[4, 10]",linear,[],{},0.7260182876142975,0.001888248826533829
dermamnist,facebook/deit-small-patch16-224,"[(3, 4), (9, 11)]",identity,[],identity,[],{},0.7256857855361596,0.01080120091157492
dermamnist,facebook/deit-small-patch16-224,"[(10, 11)]",identity,[],identity,[],{},0.7248545303408146,0.0035031267673658727
dermamnist,facebook/deit-small-patch16-224,[],identity,[11],identity,[],{},0.7248545303408146,0.0032065339188671734
dermamnist,facebook/deit-small-patch16-224,"[(3, 4), (9, 11)]",linear,[],identity,[],{},0.7248545303408146,0.007954030732439388
dermamnist,facebook/deit-small-patch16-224,[],linear,[],linear,[],{},0.7245220282626766,0.0030474318835949227
dermamnist,facebook/deit-small-patch16-224,[],identity,[],linear,[],{},0.7245220282626766,0.0030474318835949227
dermamnist,facebook/deit-small-patch16-224,[],identity,[11],linear,[],{},0.7245220282626766,0.0022490023704852154
dermamnist,facebook/deit-small-patch16-224,[],identity,[],identity,"[4, 10, 11]",{},0.7230257689110556,0.00274691797869632
dermamnist,facebook/deit-small-patch16-224,"[(3, 4), (9, 10)]",identity,[],identity,[],{},0.7225270157938487,0.0030063410340856536
dermamnist,facebook/deit-small-patch16-224,[],identity,[],identity,"[4, 10]",{},0.7216957605985037,0.007838520521447153
dermamnist,facebook/deit-small-patch16-224,[],identity,[],identity,[11],{},0.7213632585203658,0.0023570152749389987
dermamnist,facebook/deit-small-patch16-224,[],identity,[3],linear,[],{},0.7203657522859518,0.004000402133172406
