seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[],{},linear,identity,0,0.7271820448877806,0.7271820448877806,0.0,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[],{},linear,identity,0,0.7211970074812968,0.7211970074812968,0.0,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[],{},linear,identity,0,0.7251870324189527,0.7251870324189527,0.0,250
1,dermamnist,microsoft/rad-dino,Adam,0.01,Linear,linear,256,5,[],[],[],{},linear,identity,0,0.6947630922693266,0.6947630922693266,0.0,250
2,dermamnist,microsoft/rad-dino,Adam,0.01,Linear,linear,256,5,[],[],[],{},linear,identity,0,0.6987531172069825,0.6987531172069825,0.0,250
3,dermamnist,microsoft/rad-dino,Adam,0.01,Linear,linear,256,5,[],[],[],{},linear,identity,0,0.7092269326683291,0.7092269326683291,0.0,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],{},linear,identity,0,0.7271820448877806,0.7271820448877806,0.0,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],{},linear,identity,0,0.7211970074812968,0.7211970074812968,0.0,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],{},linear,identity,0,0.7251870324189527,0.7251870324189527,0.0,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 11)]",[],[],{},identity,identity,3,0.7271820448877806,0.7316708229426434,-0.0044887780548628,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 11)]",[],[],{},identity,identity,3,0.7211970074812968,0.713216957605985,0.0079800498753117,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 11)]",[],[],{},identity,identity,3,0.7251870324189527,0.7321695760598503,-0.0069825436408976,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 10)]",[],[],{},identity,identity,2,0.7271820448877806,0.7221945137157108,0.0049875311720698,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 10)]",[],[],{},identity,identity,2,0.7211970074812968,0.7197007481296758,0.001496259351621,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 10)]",[],[],{},identity,identity,2,0.7251870324189527,0.7256857855361596,-0.0004987531172069,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(2, 3)]",[],[],{},identity,identity,1,0.7271820448877806,0.7221945137157108,0.0049875311720698,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(2, 3)]",[],[],{},identity,identity,1,0.7211970074812968,0.7197007481296758,0.001496259351621,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(2, 3)]",[],[],{},identity,identity,1,0.7251870324189527,0.7182044887780549,0.0069825436408977,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7271820448877806,0.7281795511221946,-0.0009975062344139,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7211970074812968,0.7211970074812968,0.0,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(10, 11)]",[],[],{},identity,identity,1,0.7251870324189527,0.7251870324189527,0.0,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],{},identity,identity,0,0.7271820448877806,0.7162094763092269,0.0109725685785536,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],{},identity,identity,0,0.7211970074812968,0.7162094763092269,0.0049875311720698,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],{},identity,identity,0,0.7251870324189527,0.7192019950124688,0.0059850374064838,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],{},identity,identity,0,0.7271820448877806,0.7162094763092269,0.0109725685785536,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],{},identity,identity,0,0.7211970074812968,0.7172069825436409,0.0039900249376558,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],{},identity,identity,0,0.7251870324189527,0.7177057356608478,0.0074812967581048,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[3],[],{},identity,identity,0,0.7271820448877806,0.7177057356608478,0.0094763092269327,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[3],[],{},identity,identity,0,0.7211970074812968,0.7092269326683291,0.0119700748129676,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[3],[],{},identity,identity,0,0.7251870324189527,0.7167082294264339,0.0084788029925187,250
1,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[11],[],{},identity,identity,0,0.7271820448877806,0.7261845386533666,0.0009975062344139,250
2,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[11],[],{},identity,identity,0,0.7211970074812968,0.7211970074812968,0.0,250
3,dermamnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[11],[],{},identity,identity,0,0.7251870324189527,0.7271820448877806,-0.0019950124688279,250
