skip_config,accuracy_mean,accuracy_std,order
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7845666666666666,0.0015947831618541258,0
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 7), (8, 9)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7644333333333333,0.003225419869309003,3
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 8), (9, 10)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7638333333333334,0.0028290163190291475,6
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 9), (10, 11)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7611666666666667,0.002672701504720132,9
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(9, 10), (11, 12)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7618666666666667,0.0013316656236958897,12
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(10, 11), (12, 13)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7639999999999999,0.0016643316977093306,15
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(11, 12), (13, 14)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7684000000000001,0.0008888194417315968,18
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(12, 13), (14, 15)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7669666666666667,0.00551845388975328,21
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(13, 14), (15, 16)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7686999999999999,0.005692978130996153,24
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(14, 15), (16, 17)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7706666666666667,0.001331665623695939,27
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(15, 16), (17, 18)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7660666666666667,0.0023028967265887514,30
