skip_config,accuracy_mean,accuracy_std,skip_label
"Block: 0, MLP: 0, Attn: 0",0.7374333333333333,0.0013650396819628716,0
"Block: 0, MLP: 1, Attn: 0",0.699,0.003800000000000012,1
"Block: 0, MLP: 0, Attn: 1",0.6974666666666667,0.0013428824718989014,1
"Block: 1, MLP: 0, Attn: 0",0.6323,0.0017058722109232454,1
"Block: 0, MLP: 2, Attn: 0",0.7233,0.0018083141320025145,2
"Block: 0, MLP: 0, Attn: 2",0.7094999999999999,0.0015999999999999626,2
"Block: 2, MLP: 0, Attn: 0",0.6971666666666666,0.0011718930554164445,2
"Block: 0, MLP: 0, Attn: 3",0.7163666666666667,0.0010503967504392714,3
"Block: 0, MLP: 3, Attn: 0",0.6932666666666667,0.0008386497083605854,3
"Block: 3, MLP: 0, Attn: 0",0.6401666666666667,0.0019008769905844462,3
"Block: 0, MLP: 4, Attn: 0",0.7380999999999999,0.0005196152422706059,4
"Block: 4, MLP: 0, Attn: 0",0.7354666666666666,0.002050203241957617,4
"Block: 0, MLP: 0, Attn: 4",0.7348,0.0014730919862656535,4
