skip_config,accuracy_mean,accuracy_std
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [(0, 1), (2, 3), (4, 5)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.06706666666666666,0.000896288643983248
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [(0, 1), (2, 3), (4, 5)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.6175333333333334,0.0008082903768654511
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [(0, 1), (2, 3)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.12653333333333333,0.002112660250332116
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [(0, 1), (2, 3)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7120666666666667,0.006305817419917338
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [(0, 1)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.6584333333333333,0.0018502252115170613
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [(0, 1)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7371333333333334,0.002750151510977763
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [(0, 4)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.03576666666666667,0.0026539279065817397
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [(0, 4)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.27626666666666666,0.00795633919169698
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [(5, 6)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.2937666666666667,0.0037819747927945466
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [(5, 6)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7311,0.00581291665173342
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [1, 2, 3, 4], MLP Mode: identity, Attn: []",0.06046666666666667,0.002550163393458023
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [1, 2, 3, 4], MLP Mode: linear, Attn: []",0.5195,0.00345108678534746
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [1, 3, 5], MLP Mode: identity, Attn: []",0.24333333333333332,0.006251666444503688
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [1, 3, 5], MLP Mode: linear, Attn: []",0.6821999999999999,0.0022649503305812698
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [1, 3], MLP Mode: identity, Attn: []",0.5389,0.0015716233645501321
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [1, 3], MLP Mode: linear, Attn: []",0.7101333333333333,0.0023007245235649983
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [1], MLP Mode: identity, Attn: []",0.7200000000000001,0.002066397831977171
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [1], MLP Mode: linear, Attn: []",0.7347666666666667,0.000709459888459785
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [6], MLP Mode: identity, Attn: []",0.1894,0.00221133443874958
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [6], MLP Mode: linear, Attn: []",0.7315333333333333,0.0022368132093077363
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [1, 2, 3, 4]",0.0927,0.004942671342502959
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [1, 3, 5]",0.15446666666666667,0.0011372481406154728
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [1, 3]",0.4569666666666667,0.000862167810425143
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [1]",0.7301666666666667,0.0032254198693090286
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [6]",0.5533666666666667,0.002916047553338823
"Encoder: facebook/dinov2-base, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7418,0.0007549834435271022
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(16, 17), (22, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7768666666666667,0.002650157228040195
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(16, 17), (22, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7774,0.002515949125081839
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(17, 23)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.666,0.0020000000000000018
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(17, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.6696,0.0008717797887081502
