skip_config,accuracy_mean,accuracy_std,order
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: linear, Attn: []",0.7124666666666667,0.0004163331998932585,0
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [(3, 4), (9, 11)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.6861,0.0002645751311065086,3
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [(3, 4), (9, 11)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7094666666666667,0.0005773502691896423,6
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [4, 10, 11], MLP Mode: identity, Attn: []",0.7000000000000001,0.0008999999999999703,9
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [4, 10, 11], MLP Mode: linear, Attn: []",0.7114333333333334,0.0013051181300301183,12
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [4, 10, 11]",0.6986333333333333,0.002458319208998993,15
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [(9, 11)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7249666666666666,0.0013012814197295383,18
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [(9, 11)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7209,0.0032511536414017717,21
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [10, 11], MLP Mode: identity, Attn: []",0.7190666666666666,0.0017559422921420852,24
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [10, 11], MLP Mode: linear, Attn: []",0.7175666666666666,0.0018770544300401705,27
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [10, 11]",0.7164666666666667,0.0026764404221527745,30
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [(8, 9)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7185666666666667,0.0034385074281340984,33
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [(8, 9)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7124666666666667,0.002653927906581681,36
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [9], MLP Mode: identity, Attn: []",0.7197,0.00295127091267474,39
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [9], MLP Mode: linear, Attn: []",0.7149333333333333,0.00204042479237367,42
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [9]",0.7119666666666666,0.001778576209593799,45
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [(9, 10)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7193333333333333,0.0011239810200059093,48
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [(9, 10)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7188333333333333,0.003842308333974908,51
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [10], MLP Mode: identity, Attn: []",0.7179000000000001,0.0033451457367355292,54
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [10], MLP Mode: linear, Attn: []",0.7167,0.0018248287590894247,57
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [10]",0.7144333333333334,0.002112660250332098,60
"Encoder: facebook/dinov2-base, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: linear, Attn: []",0.8720666666666667,0.0047427137098219625,63
"Encoder: facebook/dinov2-base, Dataset: cifar100, Block: [(0, 4)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.17766666666666667,0.010924437437842445,66
"Encoder: facebook/dinov2-base, Dataset: cifar100, Block: [(0, 4)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.6174666666666667,0.005415102338214205,69
