skip_config,accuracy_mean,accuracy_std,order
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7124666666666667,0.0004163331998932585,0
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 2], 1: [0, 2, 4, 5], 2: [0, 3], 3: [0, 1], 4: [0], 5: [0, 1, 2, 3], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",0.3796,0.0025059928172283335,3
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 2], 1: [0, 2, 4, 5], 2: [0, 3, 5], 3: [0, 1], 4: [0, 1, 4], 5: [0, 1, 2, 3], 6: [0, 2], 7: [0], 8: [0], 9: [0, 1], 10: [0], 11: [0]}",0.43249999999999994,0.0062096698785040075,6
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 2, 3], 1: [0, 2, 4, 5], 2: [0, 3, 5], 3: [0, 1], 4: [0, 1, 4], 5: [0, 1, 2, 3], 6: [0, 2], 7: [0], 8: [0], 9: [0, 1, 4], 10: [0], 11: [0, 4]}",0.4373,0.004028647415696767,9
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 2, 3], 1: [0, 2, 4, 5], 2: [0, 3, 5], 3: [0, 1, 2], 4: [0, 1, 4], 5: [0, 1, 2, 3], 6: [0, 2], 7: [0], 8: [0], 9: [0, 1, 4], 10: [0], 11: [0, 4]}",0.45503333333333335,0.0019087517736293795,12
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 2, 3], 1: [0, 1, 2, 4, 5], 2: [0, 3, 5], 3: [0, 1, 2], 4: [0, 1, 4], 5: [0, 1, 2, 3], 6: [0, 2], 7: [0, 1], 8: [0], 9: [0, 1, 4], 10: [0], 11: [0, 4]}",0.4817,0.0025514701644346115,15
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 2, 3], 1: [0, 1, 2, 4, 5], 2: [0, 1, 2, 3, 5], 3: [0, 1, 2], 4: [0, 1, 2, 4], 5: [0, 1, 2, 3, 4], 6: [0, 2, 4], 7: [0, 1, 3], 8: [0, 2], 9: [0, 1, 4], 10: [0, 2], 11: [0, 2, 4]}",0.5747333333333333,0.0034268547289509187,18
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 1, 2, 3], 1: [0, 1, 2, 4, 5], 2: [0, 1, 2, 3, 5], 3: [0, 1, 2, 4], 4: [0, 1, 2, 4], 5: [0, 1, 2, 3, 4], 6: [0, 2, 3, 4], 7: [0, 1, 3, 5], 8: [0, 1, 2], 9: [0, 1, 4], 10: [0, 1, 2, 5], 11: [0, 2, 4, 5]}",0.6090666666666666,0.0014502873278537834,21
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 1, 2, 3], 1: [0, 1, 2, 4, 5], 2: [0, 1, 2, 3, 5], 4: [0, 1, 2, 3, 4], 5: [0, 1, 2, 3, 4], 6: [0, 1, 2, 3, 4], 7: [0, 1, 3, 5], 8: [0, 1, 2, 3], 9: [0, 1, 3, 4], 10: [0, 1, 2, 5], 11: [0, 2, 4, 5]}",0.6513,0.0035930488446442917,24
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 1, 2, 3], 1: [0, 1, 2, 4, 5], 2: [0, 1, 2, 3, 5], 4: [0, 1, 2, 3, 4], 5: [0, 1, 2, 3, 4], 6: [0, 1, 2, 3, 4], 7: [0, 1, 2, 3, 5], 8: [0, 1, 2, 3], 9: [0, 1, 3, 4], 10: [0, 1, 2, 5], 11: [0, 1, 2, 4, 5]}",0.6537000000000001,0.001307669683062192,27
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 1, 2, 3], 4: [0, 1, 2, 3, 4], 7: [0, 1, 2, 3, 5], 8: [0, 1, 2, 3, 5], 9: [0, 1, 3, 4], 11: [0, 1, 2, 4, 5]}",0.6975000000000001,0.0018248287590894566,30
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 1, 2, 3], 8: [0, 1, 2, 3, 5], 9: [0, 1, 2, 3, 4]}",0.7066333333333333,0.0011846237095944636,33
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 1, 2, 3]}",0.7045333333333333,0.000763762615825974,36
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 1, 2, 3, 4]}",0.7072333333333334,0.0018009256878986904,39
