skip_config,accuracy_mean,accuracy_std,threshold,heads_dropped,parameters_saved
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7124666666666667,0.000416333,1,0,0
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 2], 1: [0, 2, 4, 5], 2: [0, 3], 3: [0, 1], 4: [0], 5: [0, 1, 2, 3], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",0.3796,0.002505993,0.05,50,7411200
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 2], 1: [0, 2, 4, 5], 2: [0, 3], 3: [0, 1], 4: [0], 5: [0, 1, 2, 3], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",0.3796,0.002505993,0.1,50,7411200
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 2], 1: [0, 2, 4, 5], 2: [0, 3], 3: [0, 1], 4: [0], 5: [0, 1, 2, 3], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",0.3796,0.002505993,0.15,50,7411200
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 2], 1: [0, 2, 4, 5], 2: [0, 3, 5], 3: [0, 1], 4: [0, 1, 4], 5: [0, 1, 2, 3], 6: [0, 2], 7: [0], 8: [0], 9: [0, 1], 10: [0], 11: [0]}",0.43249999999999994,0.00620967,0.2,45,6670080
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 2, 3], 1: [0, 2, 4, 5], 2: [0, 3, 5], 3: [0, 1], 4: [0, 1, 4], 5: [0, 1, 2, 3], 6: [0, 2], 7: [0], 8: [0], 9: [0, 1, 4], 10: [0], 11: [0, 4]}",0.4373,0.004028647,0.25,43,6373632
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 2, 3], 1: [0, 2, 4, 5], 2: [0, 3, 5], 3: [0, 1, 2], 4: [0, 1, 4], 5: [0, 1, 2, 3], 6: [0, 2], 7: [0], 8: [0], 9: [0, 1, 4], 10: [0], 11: [0, 4]}",0.45503333333333335,0.001908752,0.3,42,6225408
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 2, 3], 1: [0, 1, 2, 4, 5], 2: [0, 3, 5], 3: [0, 1, 2], 4: [0, 1, 4], 5: [0, 1, 2, 3], 6: [0, 2], 7: [0, 1], 8: [0], 9: [0, 1, 4], 10: [0], 11: [0, 4]}",0.4817,0.00255147,0.35,40,5928960
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 2, 3], 1: [0, 1, 2, 4, 5], 2: [0, 1, 2, 3, 5], 3: [0, 1, 2], 4: [0, 1, 2, 4], 5: [0, 1, 2, 3, 4], 6: [0, 2, 4], 7: [0, 1, 3], 8: [0, 2], 9: [0, 1, 4], 10: [0, 2], 11: [0, 2, 4]}",0.5747333333333333,0.003426855,0.4,31,4594944
"Encoder: facebook/deit-small-patch16-224, Dataset: cifar100, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {0: [0, 1, 2, 3], 1: [0, 1, 2, 4, 5], 2: [0, 1, 2, 3, 5], 3: [0, 1, 2, 4], 4: [0, 1, 2, 4], 5: [0, 1, 2, 3, 4], 6: [0, 2, 3, 4], 7: [0, 1, 3, 5], 8: [0, 1, 2], 9: [0, 1, 4], 10: [0, 1, 2, 5], 11: [0, 2, 4, 5]}",0.6090666666666666,0.001450287,0.45,23,3409152
