skip_config,accuracy_mean,accuracy_std,order
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7845666666666666,0.0015947831618541258,0
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 7)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7756666666666666,0.000642910050732908,3
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 8)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7710666666666667,0.0012662279942148088,6
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 9)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7451,0.0012288205727444476,9
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 10)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7019666666666667,0.0006110100926607719,12
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 11)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6469666666666667,0.002081665999466139,15
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 12)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5619999999999999,0.0017578395831246581,18
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 13)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.4737,0.002594224354214577,21
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 14)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.40240000000000004,0.004357751713900162,24
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 15)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.33559999999999995,0.003214031735997672,27
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 16)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.2932333333333333,0.0025106440076867204,30
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 17)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.2473,0.003477067730142749,33
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 18)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.21796666666666667,0.002400694344004108,36
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 19)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.21503333333333333,0.0017785762095938753,39
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 20)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.19486666666666666,0.002967041174863167,42
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 21)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.17359999999999998,0.0013527749258468661,45
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 22)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.18646666666666667,0.004654388610046803,48
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(6, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.2101333333333333,0.004554484969053388,51
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 8)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7813333333333333,0.002914332399252567,54
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 9)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7658999999999999,0.0031796226191169027,57
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 10)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7396333333333334,0.003329164059239672,60
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 11)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7044666666666667,0.0019629909152446877,63
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 12)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6419333333333334,0.0004932882862316172,66
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 13)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5676333333333333,0.004209908945967022,69
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 14)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.4894333333333334,0.002608320021265293,72
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 15)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.4192,0.0021377558326431986,75
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 16)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.36566666666666664,0.004614469994845924,78
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 17)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.30706666666666665,0.0014294521094927893,81
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 18)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.2744333333333333,0.0008386497083605931,84
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 19)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.2547,0.002800000000000011,87
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 20)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.23736666666666664,0.0016862186493255737,90
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 21)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.214,0.0032449961479175792,93
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 22)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.22516666666666665,0.004450093631973744,96
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(7, 23)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.2295,0.006486139067272607,99
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 9)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7743333333333333,0.0014153915830374562,102
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 10)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7629333333333334,0.0012858201014657182,105
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 11)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7391333333333333,0.0024906491790963243,108
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 12)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.7027666666666667,0.005669509091035467,111
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 13)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.6512,0.0027999999999999852,114
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 14)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5904333333333334,0.0008621678104251167,117
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 15)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.5283,0.0002645751311064299,120
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 16)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.467,0.0019697715603592294,123
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 17)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.40020000000000006,0.006582552696332948,126
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 18)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.35413333333333336,0.0019553345834750226,129
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 19)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.3156333333333334,0.0032516662395352548,132
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 20)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.2920666666666667,0.0009291573243177721,135
"Encoder: google/vit-large-patch16-224, Dataset: imagenet-1k, Block: [(8, 21)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: [] Heads: {}",0.2608,0.0021166010488516676,138
