skip_config,accuracy_mean,accuracy_std
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [(10, 11)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7354666666666666,0.0018337575266830712
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [(10, 11)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7356333333333334,0.0022096756926451083
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [(2, 3)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.7051,0.00032249030993194603
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [(2, 3)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7329666666666667,0.002327802969898195
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [(3, 4), (9, 10)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.6886333333333333,0.0030414908624992634
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [(3, 4), (9, 10)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.7080000000000001,0.0015722595205627193
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [(3, 4), (9, 11)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.6688666666666666,0.0026066581415035367
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [(3, 4), (9, 11)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.6821999999999999,0.0013535139452550405
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [11], MLP Mode: identity, Attn: []",0.7380999999999999,0.0004647580015448452
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [11], MLP Mode: linear, Attn: []",0.7353333333333333,0.0010443498775155014
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [3], MLP Mode: identity, Attn: []",0.7203666666666666,0.0009973297682645843
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [3], MLP Mode: linear, Attn: []",0.7332666666666666,0.0009750213672872323
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [4, 10, 11], MLP Mode: identity, Attn: []",0.7102333333333334,0.0009479803092189207
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [4, 10, 11], MLP Mode: linear, Attn: []",0.7078833333333333,0.001822544009528091
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [4, 10], MLP Mode: identity, Attn: []",0.7115,0.0009674709297958181
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [4, 10], MLP Mode: linear, Attn: []",0.7156833333333333,0.001276583983397362
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [11]",0.7348,0.0013175735273600723
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [3]",0.7283666666666667,0.0008115828156551323
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [4, 10, 11]",0.6976333333333334,0.0017374310537879424
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: [4, 10]",0.7128333333333333,0.0017489044189625315
"Encoder: facebook/deit-small-patch16-224, Dataset: imagenet-1k, Block: [], Block Mode: identity, MLP: [], MLP Mode: linear, Attn: []",0.7374333333333333,0.0012209286083414955
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [(0, 1), (2, 3), (4, 5)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.37633333333333335,0.0029535289626704763
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [(0, 1), (2, 3), (4, 5)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.5293666666666667,0.006115826463637923
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [(0, 1), (2, 3)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.4819333333333333,0.003655589327773751
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [(0, 1), (2, 3)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.5829,0.004899999999999964
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [(0, 1)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.6015666666666667,0.0009291573243177895
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [(0, 1)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.6236666666666667,0.003583759664560884
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [(0, 4)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.06133333333333333,0.004935922743857861
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [(0, 4)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.22356666666666666,0.0004509249752822952
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [(5, 6)], Block Mode: identity, MLP: [], MLP Mode: identity, Attn: []",0.6414666666666666,0.0036198526673517405
"Encoder: facebook/dino-vitb16, Dataset: imagenet-1k, Block: [(5, 6)], Block Mode: linear, MLP: [], MLP Mode: identity, Attn: []",0.6364666666666666,0.001975685535031651
