seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,num_layers,original_accuracy,accuracy,delta_acc,num_samples
0,mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[],0,0.9646,0.9646,0.0,500
0,mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[0],0,0.9646,0.9542,0.0103999999999999,500
0,mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[1],0,0.9646,0.9582,0.0063999999999999,500
0,mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[2],0,0.9646,0.9476,0.017,500
0,mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[3],0,0.9646,0.9659,-0.0012999999999999,500
0,mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[4],0,0.9646,0.961,0.0036,500
0,mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[5],0,0.9646,0.964,0.0006,500
0,mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[6],0,0.9646,0.9642,0.0004,500
0,mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[7],0,0.9646,0.9671,-0.0024999999999999,500
0,mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[8],0,0.9646,0.964,0.0006,500
0,mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[9],0,0.9646,0.9654,-0.0008,500
0,mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[10],0,0.9646,0.9641,0.0005,500
0,mnist,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[11],0,0.9646,0.9633,0.0012999999999999,500
0,cifar10,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[],0,0.9619,0.9619,0.0,500
0,cifar10,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[0],0,0.9619,0.6821,0.2797999999999999,500
0,cifar10,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[1],0,0.9619,0.901,0.0608999999999999,500
0,cifar10,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[2],0,0.9619,0.9133,0.0485999999999999,500
