seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,num_layers,original_accuracy,accuracy,delta_acc,num_samples
1,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[],0,0.7688,0.7688,0.0,500
2,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[],0,0.7659,0.7659,0.0,500
3,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[],0,0.7716,0.7716,0.0,500
1,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[],0,0.7688,0.7688,0.0,500
1,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[3, 4]",[],0,0.7688,0.7034,0.0654,500
1,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[10, 11]",[],0,0.7688,0.7445,0.0242999999999999,500
1,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[1],[],0,0.7688,0.7191,0.0497,500
1,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[11],[],0,0.7688,0.7708,-0.002,500
2,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[],0,0.7659,0.7659,0.0,500
2,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[3, 4]",[],0,0.7659,0.6966,0.0693,500
2,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[10, 11]",[],0,0.7659,0.747,0.0189,500
2,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[1],[],0,0.7659,0.7141,0.0518,500
2,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[11],[],0,0.7659,0.7669,-0.001,500
3,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[],0,0.7716,0.7716,0.0,500
3,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[3, 4]",[],0,0.7716,0.6986,0.0729999999999999,500
3,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[10, 11]",[],0,0.7716,0.7449,0.0266999999999999,500
3,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[1],[],0,0.7716,0.7202,0.0514,500
3,imagenet-1k,google/vit-base-patch16-224,Adam,0.01,Linear,linear,256,5,[],[11],[],0,0.7716,0.7702,0.0013999999999999,500
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],[],[],0,0.7389,0.7389,0.0,500
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[3, 4]",[],0,0.7389,0.7,0.0389,500
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,[],"[10, 11]",[],0,0.7389,0.7252,0.0137,500
