seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,num_layers,original_accuracy,accuracy,delta_acc,num_samples,head_dict,mlp_mode,attn_mode
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],0,0.7389,0.7389,0.0,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],0,0.7362,0.7362,0.0,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],0,0.7372,0.7372,0.0,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 11)]",[],[],3,0.7389,0.6676,0.0713,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 11)]",[],[],3,0.7362,0.6668,0.0694,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 11)]",[],[],3,0.7372,0.6722,0.0649999999999999,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 10)]",[],[],2,0.7389,0.6852,0.0536999999999999,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 10)]",[],[],2,0.7362,0.6887,0.0474999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 10)]",[],[],2,0.7372,0.692,0.0452,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(2, 3)]",[],[],1,0.7389,0.7055,0.0333999999999999,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(2, 3)]",[],[],1,0.7362,0.7048,0.0313999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(2, 3)]",[],[],1,0.7372,0.705,0.0322,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(10, 11)]",[],[],1,0.7389,0.7366,0.0022999999999999,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(10, 11)]",[],[],1,0.7362,0.7367,-0.0005,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(10, 11)]",[],[],1,0.7372,0.7331,0.0040999999999999,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],0,0.7389,0.7112,0.0276999999999999,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],0,0.7362,0.7104,0.0257999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],0,0.7372,0.7091,0.0281,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],0,0.7389,0.7118,0.0271,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],0,0.7362,0.7103,0.0258999999999999,500,{},identity,identity
