"dataset","encoder","skip","mlp_skip","attn_skip","head_dict","skip_translator","mlp_mode","attn_mode","fit_dataset"
"dermamnist","microsoft/rad-dino","[]","[]","[]","{}","identity","identity","identity",""
"dermamnist","microsoft/rad-dino","[(9, 10)]","[]","[]","{}","identity","identity","identity",""
"dermamnist","microsoft/rad-dino","[(8, 9)]","[]","[]","{}","identity","identity","identity",""
"dermamnist","microsoft/rad-dino","[(7, 8)]","[]","[]","{}","identity","identity","identity",""
"dermamnist","microsoft/rad-dino","[(8, 10)]","[]","[]","{}","linear","identity","identity",""
"dermamnist","microsoft/rad-dino","[(8, 11)]","[]","[]","{}","linear","identity","identity",""
"dermamnist","microsoft/rad-dino","[(7, 11)]","[]","[]","{}","linear","identity","identity",""
"dermamnist","microsoft/rad-dino","[]","[11]","[]","{}","identity","identity","identity",""
"dermamnist","microsoft/rad-dino","[]","[10]","[]","{}","identity","identity","identity",""
"dermamnist","microsoft/rad-dino","[]","[2]","[]","{}","identity","identity","identity",""
"dermamnist","microsoft/rad-dino","[]","[2, 10, 11]","[]","{}","identity","identity","identity",""
"dermamnist","microsoft/rad-dino","[]","[]","[10]","{}","identity","identity","identity",""
"dermamnist","microsoft/rad-dino","[]","[]","[9]","{}","identity","identity","identity",""
"dermamnist","microsoft/rad-dino","[]","[]","[8]","{}","identity","identity","identity",""
"dermamnist","microsoft/rad-dino","[]","[]","[8, 9, 10]","{}","identity","identity","identity",""
"dermamnist","microsoft/rad-dino","[]","[]","[]","{0: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 1: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 2: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 3: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 4: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 5: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 6: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 7: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 8: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 9: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 10: [0, 1, 2, 3, 4, 5, 6, 7, 10, 11], 11: [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11]}","identity","identity","identity",""
"dermamnist","microsoft/rad-dino","[(9, 10)]","[11]","[10]","{0: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 1: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 2: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 3: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 4: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 5: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 6: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 7: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 8: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 9: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], 10: [0, 1, 2, 3, 4, 5, 6, 7, 10, 11], 11: [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11]}","identity","identity","identity",""
