"dataset","encoder","skip","mlp_skip","attn_skip","head_dict","skip_translator","mlp_mode","attn_mode","fit_dataset"
"imagenet-1k","facebook/deit-small-patch16-224","[]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","facebook/deit-small-patch16-224","[]","[]","[]","{0: [0,1,2,3], 1: [0,1,2,3], 2: [0,1,2,3], 3: [0,1,2,3], 4: [0,1,2,3], 5: [0,1,2,3], 6: [0,1,2,3], 7: [0,1,2,3], 8: [0,1,2,3], 9: [0,1,2,3], 10: [0,1,2,3], 11: [0,1,2,3]}","identity","identity","identity",""
"imagenet-1k","facebook/deit-small-patch16-224","[]","[]","[]","{0: [0,1,2,3], 1: [0,1,2,3], 2: [0,1,2,3], 3: [0,1,2,3], 4: [0,1,2,3], 5: [0,1,2,3], 6: [0,1,2,3], 7: [0,1,2,3], 8: [0,1,2,3], 9: [0,1,2,3], 10: [0,1,2,3], 11: [0,1,2,3]}","identity","identity","identity",""
"imagenet-1k","facebook/deit-small-patch16-224","[]","[0]","[]","{}","identity","identity","identity",""
"imagenet-1k","facebook/deit-small-patch16-224","[]","[1]","[]","{}","identity","identity","identity",""
"imagenet-1k","facebook/deit-small-patch16-224","[]","[3,4]","[]","{}","identity","identity","identity",""
"imagenet-1k","facebook/deit-small-patch16-224","[]","[10,11]","[]","{}","identity","identity","identity",""
"imagenet-1k","facebook/deit-small-patch16-224","[]","[11]","[]","{}","identity","identity","identity",""
"imagenet-1k","facebook/deit-small-patch16-224","[]","[]","[3,4]","{}","identity","identity","identity",""
"imagenet-1k","facebook/deit-small-patch16-224","[]","[]","[10,11]","{}","identity","identity","identity",""
"imagenet-1k","facebook/deit-small-patch16-224","[]","[]","[1]","{}","identity","identity","identity",""
"imagenet-1k","facebook/deit-small-patch16-224","[]","[]","[11]","{}","identity","identity","identity",""
