"dataset","encoder","skip","mlp_skip","attn_skip","head_dict","skip_translator","mlp_mode","attn_mode","fit_dataset"
"cifar100","facebook/deit-small-patch16-224","[]","[]","[]","{}","identity","identity","identity",""
"cifar100","facebook/deit-small-patch16-224","[]","[]","[]","{0: [1, 3, 4, 5], 1: [1, 3], 2: [1, 2, 4, 5], 3: [2, 3, 4, 5], 4: [1, 2, 3, 4, 5], 5: [4, 5], 6: [1, 2, 3, 4, 5], 7: [1, 2, 3, 4, 5], 8: [1, 2, 3, 4, 5], 9: [1, 2, 3, 4, 5], 10: [1, 2, 3, 4, 5], 11: [1, 2, 3, 4, 5]}","identity","identity","identity",""
"cifar100","facebook/deit-small-patch16-224","[]","[]","[]","{0: [1, 3, 4, 5], 1: [1, 3], 2: [1, 2, 4], 3: [2, 3, 4, 5], 4: [2, 3, 5], 5: [4, 5], 6: [1, 3, 4, 5], 7: [1, 2, 3, 4, 5], 8: [1, 2, 3, 4, 5], 9: [2, 3, 4, 5], 10: [1, 2, 3, 4, 5], 11: [1, 2, 3, 4, 5]}","identity","identity","identity",""
"cifar100","facebook/deit-small-patch16-224","[]","[]","[]","{0: [1, 4, 5], 1: [1, 3], 2: [1, 2, 4], 3: [2, 3, 4, 5], 4: [2, 3, 5], 5: [4, 5], 6: [1, 3, 4, 5], 7: [1, 2, 3, 4, 5], 8: [1, 2, 3, 4, 5], 9: [2, 3, 5], 10: [1, 2, 3, 4, 5], 11: [1, 2, 3, 5]}","identity","identity","identity",""
"cifar100","facebook/deit-small-patch16-224","[]","[]","[]","{0: [1, 4, 5], 1: [1, 3], 2: [1, 2, 4], 3: [3, 4, 5], 4: [2, 3, 5], 5: [4, 5], 6: [1, 3, 4, 5], 7: [1, 2, 3, 4, 5], 8: [1, 2, 3, 4, 5], 9: [2, 3, 5], 10: [1, 2, 3, 4, 5], 11: [1, 2, 3, 5]}","identity","identity","identity",""
"cifar100","facebook/deit-small-patch16-224","[]","[]","[]","{0: [1, 4, 5], 1: [3], 2: [1, 2, 4], 3: [3, 4, 5], 4: [2, 3, 5], 5: [4, 5], 6: [1, 3, 4, 5], 7: [2, 3, 4, 5], 8: [1, 2, 3, 4, 5], 9: [2, 3, 5], 10: [1, 2, 3, 4, 5], 11: [1, 2, 3, 5]}","identity","identity","identity",""
"cifar100","facebook/deit-small-patch16-224","[]","[]","[]","{0: [1, 4, 5], 1: [3], 2: [4], 3: [3, 4, 5], 4: [3, 5], 5: [5], 6: [1, 3, 5], 7: [2, 4, 5], 8: [1, 3, 4, 5], 9: [2, 3, 5], 10: [1, 3, 4, 5], 11: [1, 3, 5]}","identity","identity","identity",""
"cifar100","facebook/deit-small-patch16-224","[]","[]","[]","{0: [4, 5], 1: [3], 2: [4], 3: [3, 5], 4: [3, 5], 5: [5], 6: [1, 5], 7: [2, 4], 8: [3, 4, 5], 9: [2, 3, 5], 10: [3, 4], 11: [1, 3]}","identity","identity","identity",""
"cifar100","facebook/deit-small-patch16-224","[]","[]","[]","{0: [4, 5], 1: [3], 2: [4], 4: [5], 5: [5], 6: [5], 7: [2, 4], 8: [4, 5], 9: [2, 5], 10: [3, 4], 11: [1, 3]}","identity","identity","identity",""
"cifar100","facebook/deit-small-patch16-224","[]","[]","[]","{0: [4, 5], 1: [3], 2: [4], 4: [5], 5: [5], 6: [5], 7: [4], 8: [4, 5], 9: [2, 5], 10: [3, 4], 11: [3]}","identity","identity","identity",""
"cifar100","facebook/deit-small-patch16-224","[]","[]","[]","{0: [4, 5], 4: [5], 7: [4], 8: [4], 9: [2, 5], 11: [3]}","identity","identity","identity",""
"cifar100","facebook/deit-small-patch16-224","[]","[]","[]","{0: [4, 5], 8: [4], 9: [5]}","identity","identity","identity",""
"cifar100","facebook/deit-small-patch16-224","[]","[]","[]","{0: [4,5]}","identity","identity","identity",""
"cifar100","facebook/deit-small-patch16-224","[]","[]","[]","{0: [5]}","identity","identity","identity",""
