"dataset","encoder","skip","mlp_skip","attn_skip","head_dict","skip_translator","mlp_mode","attn_mode","fit_dataset"
"imagenet-1k","google/vit-large-patch16-224","[]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 7)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 8)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 9)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 10)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 11)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 12)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 13)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 14)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 15)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 16)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 17)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 18)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 19)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 20)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 21)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 22)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(6, 23)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(7, 8)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(7, 9)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(7, 10)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(7, 11)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(7, 12)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(7, 13)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(7, 14)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(7, 15)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(7, 16)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(7, 17)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(7, 18)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(7, 19)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(7, 20)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(7, 21)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(7, 22)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(7, 23)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(8, 9)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(8, 10)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(8, 11)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(8, 12)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(8, 13)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(8, 14)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(8, 15)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(8, 16)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(8, 17)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(8, 18)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(8, 19)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(8, 20)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(8, 21)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(8, 22)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(8, 23)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(9, 10)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(9, 11)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(9, 12)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(9, 13)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(9, 14)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(9, 15)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(9, 16)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(9, 17)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(9, 18)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(9, 19)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(9, 20)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(9, 21)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(9, 22)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(9, 23)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(10, 11)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(10, 12)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(10, 13)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(10, 14)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(10, 15)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(10, 16)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(10, 17)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(10, 18)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(10, 19)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(10, 20)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(10, 21)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(10, 22)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(10, 23)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(11, 12)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(11, 13)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(11, 14)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(11, 15)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(11, 16)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(11, 17)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(11, 18)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(11, 19)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(11, 20)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(11, 21)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(11, 22)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(11, 23)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(12, 13)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(12, 14)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(12, 15)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(12, 16)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(12, 17)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(12, 18)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(12, 19)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(12, 20)]","[]","[]","{}","linear","identity","identity",""
