model,dataset,head_dict,total_heads_kept,accuracy_mean,accuracy_std
facebook/deit-small-patch16-224,cifar100,"{0: [0, 1, 2, 4, 5]}",71,0.7082333333333333,0.0016441816606851127
facebook/deit-small-patch16-224,cifar100,"{0: [0, 2, 4], 10: [0, 1, 5], 11: [0, 3, 5]}",63,0.7012,0.00043588989435404483
facebook/deit-small-patch16-224,cifar100,"{0: [0, 2, 4], 10: [0, 1], 11: [0, 5]}",61,0.7033999999999999,0.0002645751311064299
facebook/deit-small-patch16-224,cifar100,"{0: [0, 2], 1: [0, 1, 2, 3, 4], 2: [0, 1, 4, 5], 3: [0, 1, 2, 3, 4], 4: [0, 1, 4, 5], 5: [0, 1, 2, 4, 5], 7: [0, 1, 3, 4], 8: [0, 1, 2, 4], 9: [0], 10: [0, 2], 11: [0, 5]}",44,0.42460000000000003,0.0028618176042508286
facebook/deit-small-patch16-224,cifar100,"{0: [0, 2], 1: [0, 1, 2, 4], 2: [0, 1, 4, 5], 3: [0, 1, 2, 3, 4], 4: [0, 2, 4, 5], 5: [0, 1, 2, 4], 6: [0, 3, 4], 7: [0, 1, 3, 4], 8: [0], 9: [0], 10: [0], 11: [0, 5]}",35,0.3534333333333333,0.0018823743871327577
facebook/deit-small-patch16-224,cifar100,"{0: [0, 2], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0, 1, 4], 4: [0, 2, 4], 5: [0, 1, 2, 4], 6: [0, 3], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0, 5]}",27,0.31670000000000004,0.0033719430600174637
facebook/deit-small-patch16-224,cifar100,"{0: [0, 2], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0, 3], 4: [0, 2, 4], 5: [0, 1, 2], 6: [0, 3], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0, 5]}",25,0.328,0.0011789826122551663
facebook/deit-small-patch16-224,cifar100,"{0: [0, 2], 3: [0, 1, 2, 3, 4], 7: [0, 1, 2, 3, 4], 10: [0, 2], 11: [0, 5]}",58,0.6974,0.0020074859899884743
facebook/deit-small-patch16-224,cifar100,"{0: [0], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0], 4: [0, 2, 4], 5: [0, 2, 4], 6: [0, 5], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",22,0.3406,0.0031240998703626712
facebook/deit-small-patch16-224,cifar100,"{0: [0], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0], 4: [0], 5: [0, 2], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",18,0.3102333333333333,0.0005033222956847127
facebook/deit-small-patch16-224,cifar100,"{0: [0], 1: [0, 1, 2], 2: [0, 1, 5], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",16,0.2946666666666667,0.003843609414773226
facebook/deit-small-patch16-224,cifar100,"{0: [0], 1: [0, 1, 2], 2: [0, 5], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",15,0.29116666666666663,0.0024704925284917177
facebook/deit-small-patch16-224,cifar100,"{0: [0], 1: [0, 1, 2], 2: [0], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",14,0.2796,0.001473091986265615
facebook/deit-small-patch16-224,cifar100,"{0: [0], 1: [0], 2: [0], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",12,0.26743333333333336,0.0024337899115029443
facebook/deit-small-patch16-224,cifar100,{},72,0.7124666666666667,0.0004163331998932585
facebook/deit-small-patch16-224,imagenet-1k,"{0: [0, 2, 4, 5], 11: [0, 3, 5]}",67,0.7357333333333335,0.0010066445913694327
facebook/deit-small-patch16-224,imagenet-1k,"{0: [0, 2, 4], 10: [0, 1], 11: [0, 5]}",61,0.7229000000000001,0.001452583904633385
facebook/deit-small-patch16-224,imagenet-1k,"{0: [0, 2, 4], 10: [0, 2], 11: [0, 5]}",61,0.7233666666666667,0.0018230011885166978
facebook/deit-small-patch16-224,imagenet-1k,"{0: [0, 2, 4], 1: [0, 1, 2, 3, 4], 2: [0, 1, 4, 5], 3: [0, 1, 2, 3, 4], 5: [0, 1, 2, 4, 5], 7: [0, 1, 2, 3, 4], 9: [0, 1, 2, 3, 4], 10: [0], 11: [0, 5]}",53,0.5441666666666666,0.001604161255402065
facebook/deit-small-patch16-224,imagenet-1k,"{0: [0, 2], 1: [0, 1, 2, 4], 2: [0, 1, 4, 5], 3: [0, 2, 3, 4], 4: [0, 1, 4, 5], 5: [0, 1, 2, 4], 6: [0, 3, 4], 7: [0, 1, 3, 4], 8: [0], 9: [0, 2], 10: [0], 11: [0, 5]}",35,0.31616666666666665,0.0047120413127787145
facebook/deit-small-patch16-224,imagenet-1k,"{0: [0, 2], 1: [0, 1, 2, 4], 2: [0, 1, 4, 5], 3: [0, 2], 4: [0, 2, 4, 5], 5: [0, 1, 2, 4], 6: [0, 3], 7: [0, 1, 4], 8: [0], 9: [0], 10: [0], 11: [0, 5]}",30,0.28626666666666667,0.0030088757590391417
facebook/deit-small-patch16-224,imagenet-1k,"{0: [0], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0, 5], 4: [0, 2, 4], 5: [0, 2, 4], 6: [0, 3], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0, 5]}",24,0.17036666666666667,0.0020744477176668765
facebook/deit-small-patch16-224,imagenet-1k,"{0: [0], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0], 4: [0, 2, 4], 5: [0, 2], 6: [0, 5], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0, 5]}",22,0.1595,0.002762245463386629
facebook/deit-small-patch16-224,imagenet-1k,"{0: [0], 1: [0, 1, 2], 2: [0, 1, 5], 3: [0], 4: [0, 2, 4], 5: [0, 2], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0, 5]}",20,0.13476666666666667,0.0014843629385474725
facebook/deit-small-patch16-224,imagenet-1k,"{0: [0], 1: [0, 1, 2], 2: [0, 1, 5], 3: [0], 4: [0], 5: [0, 2], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",17,0.10203333333333332,0.002059935274064051
facebook/deit-small-patch16-224,imagenet-1k,"{0: [0], 1: [0, 1, 2], 2: [0, 5], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",15,0.09506666666666667,0.000550757054728619
facebook/deit-small-patch16-224,imagenet-1k,"{0: [0], 1: [0, 1, 2], 2: [0], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",14,0.0883,0.0021377558326431895
facebook/deit-small-patch16-224,imagenet-1k,"{0: [0], 1: [0], 2: [0], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",12,0.07996666666666667,0.001115048578911844
facebook/deit-small-patch16-224,imagenet-1k,{},72,0.7374333333333333,0.0013650396819628716
facebook/deit-small-patch16-224,mnist,"{0: [0, 1, 2, 4, 5], 10: [0, 1, 2, 5], 11: [0, 2, 3, 5]}",67,0.9615333333333332,0.00202319878739912
facebook/deit-small-patch16-224,mnist,"{0: [0, 2, 4], 6: [0, 1, 2, 4, 5], 7: [0, 2, 4], 8: [0, 2, 3, 4, 5], 9: [0, 4], 10: [0], 11: [0, 5]}",51,0.9621,0.0010816653826392123
facebook/deit-small-patch16-224,mnist,"{0: [0, 2, 4], 7: [0, 1, 3, 4, 5], 8: [0, 1, 2, 4, 5], 9: [0, 1, 2, 3, 5], 10: [0, 2], 11: [0, 5]}",58,0.9632,0.0020999999999999908
facebook/deit-small-patch16-224,mnist,"{0: [0, 2], 1: [0, 1, 2, 3, 4], 2: [0, 1, 2, 4, 5], 3: [0, 1, 2, 3, 4], 4: [0, 2, 3, 4, 5], 6: [0, 1, 2, 4, 5], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0, 5]}",40,0.9433333333333334,0.0007371114795831973
facebook/deit-small-patch16-224,mnist,"{0: [0, 2], 1: [0, 1, 2, 3, 4], 2: [0, 1, 2, 4, 5], 3: [0, 1, 2, 3], 4: [0, 2, 4, 5], 5: [0, 1, 2, 3, 4], 6: [0, 3, 4], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0]}",34,0.9474666666666667,0.001474222959166394
facebook/deit-small-patch16-224,mnist,"{0: [0, 2], 1: [0, 1, 2, 3, 4], 2: [0, 1, 4, 5], 3: [0, 2, 3], 4: [0, 2, 4, 5], 5: [0, 1, 2, 4], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",28,0.9389,0.00115325625946708
facebook/deit-small-patch16-224,mnist,"{0: [0, 2], 1: [0, 1, 2, 4], 2: [0, 1, 4, 5], 3: [0, 3], 4: [0, 4, 5], 5: [0, 2, 5], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",24,0.9052666666666666,0.004944019956809791
facebook/deit-small-patch16-224,mnist,"{0: [0, 2], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0, 3], 4: [0, 4, 5], 5: [0, 2, 5], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",23,0.8992333333333334,0.007768097150096251
facebook/deit-small-patch16-224,mnist,"{0: [0, 2], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0], 4: [0, 4], 5: [0, 2], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",20,0.8795333333333333,0.008022676195219007
facebook/deit-small-patch16-224,mnist,"{0: [0], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0], 4: [0, 5], 5: [0, 2], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",19,0.9178000000000001,0.0030805843601498573
facebook/deit-small-patch16-224,mnist,"{0: [0], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",17,0.9017333333333334,0.003139001964531623
facebook/deit-small-patch16-224,mnist,"{0: [0], 1: [0, 1, 2], 2: [0, 1, 5], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",16,0.8941333333333334,0.0015275252316519843
facebook/deit-small-patch16-224,mnist,"{0: [0], 1: [0, 1, 2], 2: [0, 5], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",15,0.8621333333333334,0.0038017539811688672
facebook/deit-small-patch16-224,mnist,"{0: [0], 1: [0, 1, 2], 2: [0], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",14,0.8535333333333334,0.003493326972004343
