seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0], 2: [0], 3: [0, 4], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.8263,0.0,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0], 2: [0], 3: [0, 4], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.8134,0.0,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0], 2: [0], 3: [0, 4], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.8241,0.0,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 3], 2: [0], 3: [0, 4], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.812,0.0,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 3], 2: [0], 3: [0, 4], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.805,0.0,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 3], 2: [0], 3: [0, 4], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.8144,0.0,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 3], 2: [0], 3: [0, 4], 4: [0, 2], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.8888,0.0,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 3], 2: [0], 3: [0, 4], 4: [0, 2], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.8802,0.0,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 3], 2: [0], 3: [0, 4], 4: [0, 2], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.8862,0.0,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 3], 2: [0, 4], 3: [0, 4], 4: [0, 2], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.9029,0.0,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 3], 2: [0, 4], 3: [0, 4], 4: [0, 2], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.894,0.0,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0], 1: [0, 3], 2: [0, 4], 3: [0, 4], 4: [0, 2], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.9014,0.0,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 4], 4: [0, 2], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.9136,0.0,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 4], 4: [0, 2], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.9121,0.0,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 4], 4: [0, 2], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.9107,0.0,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 4, 5], 4: [0, 2, 3], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.9247,0.0,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 4, 5], 4: [0, 2, 3], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.9189,0.0,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 4, 5], 4: [0, 2, 3], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0]}",identity,identity,0,0.0,0.9232,0.0,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0, 3]}",identity,identity,0,0.0,0.9264,0.0,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0, 3]}",identity,identity,0,0.0,0.9212,0.0,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3], 5: [0, 2], 6: [0], 7: [0], 8: [0, 1], 9: [0], 10: [0], 11: [0, 3]}",identity,identity,0,0.0,0.9235,0.0,500
1,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3], 5: [0, 2, 4], 6: [0], 7: [0], 8: [0, 1], 9: [0, 1], 10: [0, 1, 2], 11: [0, 3, 5]}",identity,identity,0,0.0,0.9381,0.0,500
2,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3], 5: [0, 2, 4], 6: [0], 7: [0], 8: [0, 1], 9: [0, 1], 10: [0, 1, 2], 11: [0, 3, 5]}",identity,identity,0,0.0,0.9359,0.0,500
3,mnist,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 3], 2: [0, 4], 3: [0, 1, 4, 5], 4: [0, 2, 3], 5: [0, 2, 4], 6: [0], 7: [0], 8: [0, 1], 9: [0, 1], 10: [0, 1, 2], 11: [0, 3, 5]}",identity,identity,0,0.0,0.9375,0.0,500
