threshold,layer_0_keep,layer_1_keep,layer_2_keep,layer_3_keep,layer_4_keep,layer_5_keep,layer_6_keep,layer_7_keep,layer_8_keep,layer_9_keep,layer_10_keep,layer_11_keep
0.05,0,0,0,0,0,0,0,0,0,0,0,0
0.10,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0,0,0,0,0,0,0,0,0,0,0,0
0.20,0,0 1 2,0,0,0,0,0,0,0,0,0,0
0.25,0,0 1 2,0,0,0,0,0,0,0,0,0,0
0.30,0,0 1 2,0,0,0,0,0,0,0,0,0,0
0.35,0,0 1 2,0 5,0,0,0,0,0,0,0,0,0
0.40,0,0 1 2,0 1 5,0,0,0,0,0,0,0,0,0
0.45,0,0 1 2,0 1 5,0,0,0,0,0,0,0,0,0
0.50,0,0 1 2,0 1 4 5,0,0,0 2,0,0,0,0,0,0
0.55,0,0 1 2,0 1 4 5,0,0 2 4,0 2 4,0 5,0,0,0,0,0
0.60,0 2,0 1 2,0 1 4 5,0 3,0 2 4,0 1 2,0 3,0,0,0,0,0 5
0.65,0 2,0 1 2,0 1 4 5,0 1 4,0 2 4,0 1 2 4,0 3,0,0,0,0,0 5
0.70,0 2,0 1 2 4,0 1 4 5,0 1 2 3 4,0 2 4 5,0 1 2 4,0 3 4,0 1 3 4,0,0,0,0 5
0.75,0 2,0 1 2 3 4,0 1 4 5,0 1 2 3 4,0 1 4 5,0 1 2 4 5,0 1 2 3 4 5,0 1 3 4,0 1 2 4,0,0 2,0 5
0.80,0 2,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4,0 1 2 3 4 5,0 1 2 3 4 5,0 2,0 5
0.85,0 2 4,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1,0 5
0.90,0 2 4,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 5,0 3 5
0.95,0 1 2 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5,0 1 2 3 4 5
