threshold,layer_0_keep,layer_1_keep,layer_2_keep,layer_3_keep,layer_4_keep,layer_5_keep,layer_6_keep,layer_7_keep,layer_8_keep,layer_9_keep,layer_10_keep,layer_11_keep
0.05,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11
0.10,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11
0.15,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11
0.20,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11
0.25,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11
0.30,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11
0.35,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11
0.40,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11
0.45,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11
0.50,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11,0 1 2 3 4 5 6 7 8 9 10 11
