model,dataset,head_dict,total_heads_kept,accuracy_mean,accuracy_std,threshold,attention_head_saving,model_size
facebook/deit-small-patch16-224,cifar100,"{0: [0], 1: [0], 2: [0], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",12,0.26743333333333336,0.0024337899115029443,0.05,5.88,16.220000000000002
facebook/deit-small-patch16-224,cifar100,"{0: [0], 1: [0], 2: [0], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",12,0.26743333333333336,0.0024337899115029443,0.1,5.88,16.220000000000002
facebook/deit-small-patch16-224,cifar100,"{0: [0], 1: [0], 2: [0], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",12,0.26743333333333336,0.0024337899115029443,0.15,5.88,16.220000000000002
facebook/deit-small-patch16-224,cifar100,"{0: [0], 1: [0, 1, 2], 2: [0], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",14,0.2796,0.001473091986265615,0.2,5.684,16.416
facebook/deit-small-patch16-224,cifar100,"{0: [0], 1: [0, 1, 2], 2: [0], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",14,0.2796,0.001473091986265615,0.25,5.684,16.416
facebook/deit-small-patch16-224,cifar100,"{0: [0], 1: [0, 1, 2], 2: [0], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",14,0.2796,0.001473091986265615,0.3,5.684,16.416
facebook/deit-small-patch16-224,cifar100,"{0: [0], 1: [0, 1, 2], 2: [0, 5], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",15,0.29116666666666663,0.0024704925284917177,0.35,5.586,16.514000000000003
facebook/deit-small-patch16-224,cifar100,"{0: [0], 1: [0, 1, 2], 2: [0, 1, 5], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",16,0.2946666666666667,0.003843609414773226,0.4,5.488,16.612000000000002
facebook/deit-small-patch16-224,cifar100,"{0: [0], 1: [0, 1, 2], 2: [0, 1, 5], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",16,0.2946666666666667,0.003843609414773226,0.45,5.488,16.612000000000002
facebook/deit-small-patch16-224,cifar100,"{0: [0], 1: [0, 1, 2], 2: [0, 1, 4, 5], 3: [0], 4: [0], 5: [0, 2], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",18,0.3102333333333333,0.0005033222956847127,0.5,5.292,16.808
