layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.354972,2.747946,0.534814,0.889000
1,0.315226,1.143705,0.230881,0.642757
2,0.229047,0.693955,0.174312,0.565228
3,0.154070,0.539167,0.134399,0.513247
4,0.131123,0.492624,0.144286,0.534005
5,0.086678,0.401758,0.118531,0.479680
6,0.074381,0.376105,0.080088,0.386607
7,0.041156,0.280532,0.066974,0.353894
8,0.016935,0.178681,0.056459,0.330726
9,0.016255,0.177715,0.048365,0.305455
10,0.018837,0.194608,0.012464,0.153902
11,0.065032,0.337945,0.021382,0.215798
