layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.225981,1.406735,0.210902,0.628165
1,0.268835,0.811303,0.357078,0.906438
2,0.182910,0.652290,0.254939,0.670981
3,0.319669,0.761676,0.366573,0.850354
4,0.257194,0.676823,0.329178,0.776858
5,0.286089,0.711511,0.360259,0.793824
6,0.261901,0.698884,0.363936,0.777748
7,0.270620,0.713244,0.346029,0.760733
8,0.273779,0.710691,0.346783,0.754985
9,0.201678,0.598181,0.315231,0.724950
10,0.175672,0.559186,0.371203,0.772521
11,0.427734,0.814741,0.209421,0.686860
