layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.137689,0.572354,0.241783,1.260014
1,0.155175,0.592382,0.223244,0.921268
2,0.103886,0.476926,0.269337,0.721652
3,0.204635,0.609414,0.228659,0.676758
4,0.179325,0.572508,0.225684,0.650489
5,0.311657,0.734272,0.351445,0.798809
6,0.311609,0.747847,0.352372,0.775761
7,0.287198,0.715864,0.338438,0.761779
8,0.296324,0.728205,0.355592,0.768997
9,0.250970,0.661535,0.335007,0.745454
10,0.215371,0.615631,0.343385,0.749544
11,0.423129,0.809544,0.234010,0.702871
