layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.239125,1.269233,0.335789,0.747356
1,0.157389,0.654165,0.144812,0.519410
2,0.124740,0.526405,0.100946,0.438091
3,0.093928,0.430958,0.095806,0.427534
4,0.104786,0.445538,0.135085,0.520457
5,0.101209,0.437444,0.136982,0.529771
6,0.093471,0.419553,0.122117,0.491301
7,0.072509,0.371896,0.095370,0.425314
8,0.053541,0.319579,0.101553,0.432853
9,0.040025,0.270489,0.093818,0.420453
10,0.042781,0.277074,0.118941,0.455961
11,0.150182,0.518372,0.026866,0.243216
