layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.281685,1.397468,0.370702,0.779962
1,0.201867,0.757912,0.178054,0.571786
2,0.147508,0.603490,0.124484,0.487890
3,0.107358,0.471531,0.102065,0.442292
4,0.122862,0.479928,0.183329,0.586711
5,0.114231,0.462338,0.162843,0.568339
6,0.098872,0.429601,0.144624,0.527777
7,0.070862,0.365148,0.103668,0.443798
8,0.039803,0.276601,0.110655,0.446947
9,0.024046,0.213898,0.092309,0.416921
10,0.025879,0.220758,0.109282,0.449611
11,0.151843,0.531180,0.016987,0.214728
