layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.159851,0.880138,0.352715,0.780211
1,0.103955,0.504237,0.103292,0.463035
2,0.078432,0.405280,0.088023,0.410486
3,0.079848,0.395364,0.086044,0.408176
4,0.096576,0.429913,0.093083,0.434834
5,0.083805,0.401790,0.098424,0.450097
6,0.085314,0.403787,0.099675,0.445042
7,0.069037,0.364793,0.087944,0.410558
8,0.057287,0.330486,0.094873,0.422720
9,0.048959,0.294472,0.102627,0.440401
10,0.060925,0.320634,0.157459,0.514510
11,0.125013,0.480553,0.025576,0.236166
