layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.295992,1.496468,0.362496,0.770797
1,0.178068,0.717873,0.168535,0.554849
2,0.155358,0.594136,0.127201,0.488916
3,0.107934,0.466495,0.105372,0.446680
4,0.121067,0.475789,0.178081,0.587177
5,0.121228,0.474797,0.191183,0.614316
6,0.101969,0.436112,0.144553,0.536372
7,0.075880,0.375384,0.100920,0.440146
8,0.043855,0.290191,0.104613,0.433336
9,0.023432,0.210751,0.091053,0.407929
10,0.022708,0.206167,0.098123,0.424844
11,0.104884,0.447426,0.030547,0.262579
