layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.305130,2.330377,0.530613,0.885601
1,0.274119,1.019201,0.196916,0.607132
2,0.184689,0.614636,0.180159,0.584736
3,0.145095,0.521060,0.138751,0.529713
4,0.120980,0.474669,0.130206,0.514489
5,0.087665,0.404772,0.114126,0.471181
6,0.073329,0.373412,0.089562,0.408111
7,0.042147,0.282765,0.071792,0.365435
8,0.028741,0.230704,0.063479,0.347844
9,0.022919,0.209032,0.048852,0.309335
10,0.019679,0.196441,0.014767,0.167785
11,0.085434,0.387907,0.019982,0.208877
