layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.362361,2.633976,0.589394,0.911185
1,0.319838,1.238795,0.197867,0.597927
2,0.232449,0.700916,0.209310,0.618074
3,0.152221,0.534699,0.155311,0.548448
4,0.141838,0.511051,0.174171,0.584635
5,0.075294,0.376234,0.118078,0.476456
6,0.071542,0.367719,0.084184,0.395288
7,0.041146,0.279558,0.073291,0.371212
8,0.017225,0.181063,0.071735,0.372071
9,0.017407,0.184526,0.040146,0.280755
10,0.020476,0.204718,0.012503,0.155159
11,0.044553,0.285661,0.020455,0.209369
