layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.189171,1.461639,0.541396,0.911630
1,0.195367,0.770250,0.179394,0.621290
2,0.153283,0.551222,0.153250,0.562535
3,0.122705,0.479394,0.113269,0.487708
4,0.100535,0.436002,0.106344,0.465943
5,0.084444,0.398876,0.100322,0.442689
6,0.065302,0.354053,0.089809,0.410033
7,0.043678,0.287671,0.075129,0.373754
8,0.033109,0.247261,0.065410,0.352685
9,0.025414,0.219199,0.045774,0.298579
10,0.020560,0.198914,0.013957,0.163355
11,0.105602,0.427324,0.016753,0.191364
