layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.364113,2.835282,0.542448,0.891911
1,0.311794,1.152045,0.230520,0.640936
2,0.227049,0.685617,0.188958,0.589659
3,0.153283,0.537948,0.151783,0.544868
4,0.137112,0.502916,0.151542,0.545913
5,0.086305,0.400533,0.117195,0.477458
6,0.069271,0.362894,0.081445,0.389224
7,0.037047,0.267029,0.067948,0.356818
8,0.014218,0.164918,0.060048,0.339882
9,0.014483,0.168097,0.044902,0.296428
10,0.017725,0.188088,0.012401,0.153901
11,0.049632,0.299527,0.022109,0.218670
