layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.177517,0.986972,0.220870,0.729597
1,0.247267,0.788117,0.274522,0.808491
2,0.132970,0.541666,0.230759,0.647380
3,0.281512,0.715891,0.330153,0.807418
4,0.230155,0.644758,0.294281,0.732316
5,0.308129,0.738309,0.374868,0.806484
6,0.303493,0.753256,0.372745,0.786867
7,0.296452,0.738120,0.358105,0.774349
8,0.298382,0.741251,0.372234,0.779548
9,0.245131,0.655755,0.331183,0.739819
10,0.210454,0.609390,0.365693,0.766032
11,0.419365,0.805502,0.212508,0.680811
