layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.212809,1.246518,0.269325,0.749154
1,0.283137,0.918964,0.351597,0.845112
2,0.176579,0.635818,0.259745,0.674667
3,0.317969,0.758181,0.396838,0.882586
4,0.259636,0.681829,0.368091,0.816990
5,0.276276,0.707387,0.384379,0.808691
6,0.280331,0.728319,0.379228,0.787039
7,0.251647,0.701368,0.338204,0.749361
8,0.273067,0.725941,0.356896,0.760293
9,0.194568,0.594284,0.330807,0.737387
10,0.189061,0.579601,0.381077,0.776796
11,0.423859,0.810857,0.171565,0.647115
