layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.234755,1.542765,0.225919,0.639537
1,0.255535,0.770356,0.332341,0.893081
2,0.172330,0.607475,0.264195,0.688971
3,0.318050,0.752220,0.403604,0.905034
4,0.281472,0.705121,0.367272,0.825014
5,0.269832,0.692656,0.370949,0.802645
6,0.252637,0.691664,0.366752,0.779621
7,0.255436,0.693999,0.344959,0.759128
8,0.259814,0.696560,0.362909,0.768520
9,0.201901,0.599378,0.327014,0.735366
10,0.166001,0.544376,0.385405,0.782835
11,0.427400,0.813702,0.200525,0.686057
