layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.178561,0.575588,0.232599,0.684936
1,0.156964,0.542501,0.189029,0.583781
2,0.155092,0.534541,0.140692,0.513202
3,0.114836,0.464680,0.120014,0.477001
4,0.094153,0.421892,0.131660,0.492960
5,0.076128,0.376792,0.103779,0.460724
6,0.057169,0.324591,0.076856,0.394992
7,0.040194,0.271986,0.068255,0.354393
8,0.028986,0.228761,0.068710,0.353592
9,0.029569,0.234328,0.102086,0.426878
10,0.030155,0.238763,0.172102,0.547398
11,0.119770,0.469732,0.052357,0.314062
