layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.162238,0.563396,0.218576,0.656280
1,0.133658,0.500939,0.153861,0.530569
2,0.130900,0.492461,0.125757,0.486372
3,0.104620,0.445312,0.115663,0.460859
4,0.085620,0.403534,0.117178,0.464665
5,0.068736,0.358258,0.093784,0.441107
6,0.060692,0.332391,0.080530,0.402101
7,0.050694,0.301386,0.069789,0.355804
8,0.047991,0.290849,0.069025,0.351517
9,0.043817,0.279246,0.084823,0.387475
10,0.044814,0.284348,0.190800,0.572333
11,0.129173,0.472195,0.057400,0.324256
