layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.221953,0.707655,0.295948,0.736242
1,0.165203,0.563738,0.182489,0.574868
2,0.156790,0.536287,0.238482,0.650929
3,0.108750,0.455800,0.126370,0.476110
4,0.096581,0.429442,0.132174,0.494233
5,0.067771,0.353462,0.099219,0.460630
6,0.053984,0.312500,0.083427,0.411697
7,0.033012,0.242785,0.075035,0.366542
8,0.025221,0.212018,0.065668,0.342472
9,0.032067,0.239491,0.096849,0.413452
10,0.026789,0.221283,0.205254,0.591233
11,0.092027,0.385469,0.055745,0.322831
