layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.130676,0.506819,0.265580,0.689753
1,0.105886,0.447574,0.131643,0.497677
2,0.107560,0.448518,0.096982,0.426243
3,0.080971,0.393109,0.095069,0.412896
4,0.074008,0.376566,0.100540,0.425416
5,0.062975,0.344282,0.088777,0.426418
6,0.056739,0.321707,0.076478,0.392917
7,0.054757,0.312435,0.073824,0.365062
8,0.051833,0.301399,0.078122,0.372839
9,0.050990,0.299043,0.092362,0.401646
10,0.059634,0.328564,0.171346,0.536807
11,0.146684,0.510523,0.059395,0.324710
