layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.198991,0.605179,0.232831,0.689832
1,0.147481,0.524857,0.185130,0.578727
2,0.148837,0.523682,0.167747,0.557756
3,0.111277,0.457580,0.123391,0.480419
4,0.095328,0.424783,0.125818,0.483435
5,0.072545,0.368324,0.102375,0.457421
6,0.053310,0.313867,0.083188,0.407919
7,0.040814,0.274613,0.071230,0.362030
8,0.022637,0.203513,0.062077,0.337573
9,0.027311,0.225851,0.100622,0.425657
10,0.027848,0.229662,0.164414,0.534102
11,0.137033,0.494326,0.065994,0.351613
