block,bi_block,angdist_in_out
0,0.406914,0.297909
1,0.163756,0.184747
2,0.169541,0.188078
3,0.152180,0.177915
4,0.124172,0.160316
5,0.148497,0.175692
6,0.109018,0.150017
7,0.094629,0.139592
8,0.090258,0.136279
9,0.061214,0.111951
10,0.056707,0.107711
11,0.050946,0.102042
12,0.044749,0.095585
13,0.035235,0.084749
14,0.024361,0.070404
15,0.020237,0.064147
16,0.018076,0.060614
17,0.016251,0.057463
18,0.016250,0.057463
19,0.019919,0.063638
20,0.022897,0.068247
21,0.034581,0.083954
22,0.045513,0.096403
23,0.107420,0.148893

blocks_dropped,skip_from,skip_to,angdist
1,17,18,0.057463
2,16,18,0.082326
3,15,18,0.104626
4,14,18,0.124937
5,14,19,0.143218
6,13,19,0.163461
7,13,20,0.182638
8,12,20,0.204704
