layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.109264,0.475990,0.288851,0.734308
1,0.095134,0.430461,0.115885,0.468158
2,0.111608,0.459375,0.115368,0.465950
3,0.093798,0.421764,0.102094,0.441780
4,0.085645,0.405405,0.068065,0.363678
5,0.090622,0.415209,0.086846,0.403687
6,0.068842,0.361378,0.060535,0.347417
7,0.058866,0.333911,0.052857,0.317318
8,0.056486,0.327917,0.048063,0.300385
9,0.036770,0.266050,0.032331,0.247402
10,0.033048,0.251722,0.028164,0.230141
11,0.025264,0.220302,0.029254,0.233848
12,0.021282,0.200062,0.025387,0.220429
13,0.015694,0.170660,0.020603,0.199402
14,0.010656,0.137243,0.014318,0.167137
15,0.009579,0.126965,0.011082,0.148238
16,0.008621,0.122305,0.009845,0.140980
17,0.008276,0.122798,0.008809,0.135041
18,0.007148,0.110522,0.009549,0.140960
19,0.009276,0.125853,0.011950,0.156968
20,0.009717,0.128956,0.014198,0.172371
21,0.012923,0.146920,0.026861,0.219220
22,0.016547,0.166570,0.030639,0.239875
23,0.087265,0.372892,0.024965,0.232359
