block,bi_block,angdist_in_out
0,0.340203,0.270642
1,0.150901,0.177145
2,0.158023,0.181392
3,0.146563,0.174514
4,0.130221,0.164261
5,0.126503,0.161847
6,0.092438,0.137941
7,0.083868,0.131294
8,0.077766,0.126362
9,0.061178,0.111919
10,0.064519,0.114967
11,0.051444,0.102545
12,0.045650,0.096550
13,0.030122,0.078325
14,0.023182,0.068673
15,0.018986,0.062125
16,0.018693,0.061643
17,0.016479,0.057866
18,0.017454,0.059559
19,0.019844,0.063518
20,0.022252,0.067276
21,0.036043,0.085721
22,0.043494,0.094226
23,0.090363,0.136360

blocks_dropped,skip_from,skip_to,angdist
1,16,17,0.057866
2,16,18,0.084335
3,15,18,0.107731
4,14,18,0.128634
5,14,19,0.147833
6,14,20,0.167814
7,13,20,0.186675
8,12,20,0.207913
