layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.084547,0.453646,0.258101,0.700139
1,0.079825,0.396174,0.095523,0.427224
2,0.095905,0.426244,0.097500,0.430271
3,0.085817,0.403747,0.088718,0.412504
4,0.081783,0.395724,0.073306,0.375612
5,0.076721,0.383203,0.070024,0.358777
6,0.057749,0.331041,0.048766,0.312662
7,0.051376,0.311829,0.046324,0.295011
8,0.047850,0.302314,0.040035,0.272983
9,0.036804,0.265089,0.033021,0.248175
10,0.038427,0.269781,0.032110,0.242944
11,0.027228,0.227317,0.029742,0.234804
12,0.024085,0.211411,0.023559,0.209507
13,0.012694,0.153193,0.018483,0.186230
14,0.009629,0.129786,0.014117,0.163167
15,0.008688,0.121369,0.010614,0.143646
16,0.009339,0.126019,0.009819,0.138531
17,0.009239,0.126658,0.007981,0.128462
18,0.008794,0.120690,0.009117,0.137161
19,0.009523,0.125949,0.011205,0.151205
20,0.009996,0.129776,0.013297,0.165970
21,0.013323,0.150412,0.027903,0.225358
22,0.016745,0.169508,0.028510,0.235235
23,0.070531,0.335157,0.026021,0.240001
