block,bi_block,angdist_in_out
0,0.445225,0.312804
1,0.179165,0.193509
2,0.201636,0.205699
3,0.191477,0.200267
4,0.119355,0.157109
5,0.144308,0.173132
6,0.100511,0.143939
7,0.085027,0.132211
8,0.074727,0.123836
9,0.059611,0.110461
10,0.058117,0.109054
11,0.060136,0.110952
12,0.042812,0.093478
13,0.034456,0.083801
14,0.023424,0.069031
15,0.020419,0.064435
16,0.018729,0.061703
17,0.018732,0.061708
18,0.018032,0.060539
19,0.021695,0.066426
20,0.026157,0.072964
21,0.040714,0.091143
22,0.051623,0.102724
23,0.095842,0.140499

blocks_dropped,skip_from,skip_to,angdist
1,17,18,0.060539
2,16,18,0.086467
3,15,18,0.107766
4,14,18,0.128132
5,14,19,0.146022
6,13,19,0.164781
7,13,20,0.185000
8,12,20,0.205704
