layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.158337,0.753447,0.361269,0.776045
1,0.128555,0.516296,0.124897,0.488577
2,0.119864,0.475316,0.152087,0.529585
3,0.097346,0.428374,0.157160,0.537597
4,0.075899,0.384129,0.071709,0.371371
5,0.081386,0.395059,0.091151,0.409427
6,0.064436,0.348662,0.057059,0.339218
7,0.054084,0.320114,0.047959,0.299729
8,0.044754,0.291070,0.040800,0.273901
9,0.035556,0.260399,0.032755,0.246012
10,0.031964,0.247106,0.032814,0.243514
11,0.033025,0.249165,0.032300,0.243117
12,0.022822,0.203186,0.022893,0.207324
13,0.014131,0.158724,0.021443,0.201842
14,0.009801,0.130878,0.014608,0.167660
15,0.008884,0.124465,0.012148,0.154282
16,0.008215,0.119442,0.011259,0.148579
17,0.010337,0.135100,0.009622,0.139384
18,0.008271,0.120429,0.010374,0.144805
19,0.010313,0.133189,0.012222,0.156790
20,0.011717,0.140429,0.015601,0.177493
21,0.017013,0.167579,0.029784,0.229935
22,0.024710,0.202268,0.031279,0.241179
23,0.076785,0.353145,0.023954,0.231872
