block,bi_block,angdist_in_out
0,0.380875,0.287487
1,0.142948,0.172294
2,0.128926,0.163424
3,0.114182,0.153598
4,0.101353,0.144551
5,0.102407,0.145314
6,0.080012,0.128198
7,0.074606,0.123734
8,0.070352,0.120111
9,0.054495,0.105569
10,0.061679,0.112380
11,0.048063,0.099089
12,0.043424,0.094149
13,0.029175,0.077079
14,0.022596,0.067796
15,0.018420,0.061190
16,0.017846,0.060226
17,0.015722,0.056519
18,0.016283,0.057521
19,0.018505,0.061331
20,0.020477,0.064527
21,0.029537,0.077557
22,0.034015,0.083260
23,0.068869,0.118823

blocks_dropped,skip_from,skip_to,angdist
1,16,17,0.056519
2,16,18,0.082332
3,15,18,0.105765
4,15,19,0.127185
5,14,19,0.146283
6,14,20,0.166110
7,13,20,0.185572
8,12,20,0.207348
