layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.066774,0.382535,0.307843,0.730379
1,0.056586,0.329749,0.092991,0.422848
2,0.074232,0.374595,0.070781,0.367971
3,0.065053,0.351831,0.062688,0.343865
4,0.058600,0.334962,0.056224,0.323221
5,0.059935,0.339782,0.054307,0.312577
6,0.048176,0.303330,0.040964,0.285333
7,0.044966,0.293059,0.039343,0.272249
8,0.043715,0.289608,0.034419,0.253955
9,0.032362,0.249254,0.028535,0.231301
10,0.036215,0.262043,0.030529,0.237819
11,0.024493,0.215286,0.027693,0.226135
12,0.021679,0.200537,0.023143,0.208300
13,0.012423,0.150013,0.017689,0.181687
14,0.009429,0.125776,0.013548,0.158818
15,0.008643,0.118061,0.009986,0.138410
16,0.008946,0.120652,0.009275,0.134171
17,0.008814,0.120327,0.007399,0.122872
18,0.008472,0.115251,0.008196,0.129751
19,0.009481,0.122196,0.009811,0.141431
20,0.010397,0.129363,0.011071,0.151372
21,0.012646,0.145305,0.021006,0.197975
22,0.013407,0.150356,0.021461,0.209842
23,0.048589,0.285886,0.026875,0.235596
