block,bi_block,angdist_in_out
0,0.440249,0.310897
1,0.163798,0.184771
2,0.177551,0.192607
3,0.159574,0.182305
4,0.123166,0.159651
5,0.149234,0.176139
6,0.106299,0.148100
7,0.090113,0.136168
8,0.084418,0.131730
9,0.059305,0.110174
10,0.060122,0.110938
11,0.048648,0.099696
12,0.043250,0.093958
13,0.033134,0.082169
14,0.025846,0.072528
15,0.021485,0.066103
16,0.017731,0.060030
17,0.016090,0.057177
18,0.016063,0.057129
19,0.018987,0.062127
20,0.022402,0.067503
21,0.035239,0.084755
22,0.047733,0.098746
23,0.103622,0.146189

blocks_dropped,skip_from,skip_to,angdist
1,17,18,0.057129
2,16,18,0.081605
3,15,18,0.103660
4,15,19,0.123538
5,14,19,0.142177
6,14,20,0.162834
7,13,20,0.182084
8,12,20,0.203193
