layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.129083,0.512970,0.299328,0.752027
1,0.088243,0.414775,0.117505,0.472548
2,0.106662,0.448766,0.121002,0.476832
3,0.085704,0.403060,0.110182,0.460125
4,0.076411,0.382646,0.072928,0.376400
5,0.087269,0.408046,0.088731,0.407126
6,0.067025,0.356193,0.058200,0.341191
7,0.057589,0.330184,0.048550,0.303977
8,0.051199,0.312720,0.044844,0.290638
9,0.033489,0.253820,0.033649,0.252059
10,0.033905,0.255002,0.030485,0.238837
11,0.024141,0.215280,0.028542,0.231661
12,0.020894,0.197540,0.024468,0.216584
13,0.013152,0.155888,0.021525,0.204745
14,0.011774,0.144615,0.015164,0.172062
15,0.010426,0.131873,0.011523,0.151257
16,0.008803,0.123633,0.009447,0.138399
17,0.008881,0.127113,0.008230,0.131655
18,0.007489,0.113593,0.008984,0.137723
19,0.008933,0.125151,0.011292,0.153335
20,0.009060,0.126480,0.014073,0.171484
21,0.012831,0.147002,0.026751,0.220379
22,0.017133,0.170527,0.032152,0.246838
23,0.081866,0.365695,0.028241,0.246592
