layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.088521,0.446345,0.075962,0.406423
1,0.092768,0.425989,0.062964,0.412847
2,0.052197,0.328347,0.043908,0.364728
3,0.055135,0.376213,0.045559,0.353987
4,0.040125,0.335498,0.042528,0.341520
5,0.036563,0.327804,0.049048,0.354745
6,0.030721,0.278332,0.055370,0.372662
7,0.028128,0.271258,0.052395,0.359522
8,0.021408,0.221535,0.053527,0.356099
9,0.019186,0.205123,0.049699,0.342404
10,0.013758,0.177725,0.032751,0.284464
11,0.041306,0.351115,0.030617,0.380879
