layer,bi_attn,relnorm_attn,bi_mlp,relnorm_mlp
0,0.124249,0.562101,0.077354,0.412472
1,0.083235,0.406017,0.067531,0.441969
2,0.051551,0.327977,0.042617,0.376112
3,0.057850,0.377897,0.045267,0.360445
4,0.044508,0.350542,0.044591,0.351477
5,0.038371,0.336585,0.057179,0.378006
6,0.030846,0.275968,0.060230,0.384964
7,0.030418,0.283937,0.053982,0.368731
8,0.019632,0.212569,0.047890,0.340547
9,0.017586,0.196949,0.048963,0.335544
10,0.012246,0.166551,0.031565,0.281050
11,0.040956,0.353737,0.029291,0.381376
